,Unnamed: 0.1,Unnamed: 0,Classification,Disposition,datetime,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Longtitude,Latitude,Incidents
0,0,0,Obstruction of Justice,Open Investigation,2019-02-13 13:05:00,2019,44,2,2,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND
1,1,1,Theft,Open Investigation,2019-03-02 13:55:00,2019,61,3,5,weekend,PGP RESIDENCES (BLOCK 13),PGP,1.290867796,103.7802755,LOST AND FOUND
2,2,2,Liquor Law Violation,Open Investigation,2019-03-18 03:05:00,2019,77,3,0,day_weekday,PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,LOST AND FOUND
3,3,3,Theft,Open Investigation,2018-11-16 16:42:00,2018,320,11,4,day_weekday,"KENT VALE APARTMENT BLK G, 115",KV,1.30249388,103.7703148,LOST AND FOUND
4,4,4,Assault,Open Investigation,2018-09-28 14:03:00,2018,271,9,4,day_weekday,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,DAMAGED PROPERTY
5,5,5,False Public Alarm,Closed,2019-11-15 04:10:00,2019,319,11,4,day_weekday,NATIONAL SINGAPORE WIND TUNNEL,UCC,1.300768273,103.7753832,LOST AND FOUND
6,6,6,Theft,Open Investigation,2018-10-31 00:28:00,2018,304,10,2,day_weekday,20 EVANS BUNGALOW,BTC,1.318059047,103.8199399,LOST AND FOUND
7,7,7,Disorderly Conduct,Unfounded,2019-04-25 20:04:00,2019,115,4,3,day_weekday,SCIENCE BLOCK 12,FOS,1.296959412,103.778681,SEXUAL INCIDENTS
8,8,8,Shoplifting,Arrest,2019-04-24 22:18:00,2019,114,4,2,day_weekday,COMPUTING BLOCK 2,SOC,1.294225262,103.7740172,STOLEN ITEMS
9,9,9,Harassment: Bias Incident,Closed,2019-10-11 10:56:00,2019,284,10,4,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND
10,10,10,Trespass,Closed,2019-01-21 19:40:00,2019,21,1,0,day_weekday,"KENT VALE APARTMENT BLK A,103",KV,1.301286274,103.7690165,EMERGENCY INCIDENTS
11,11,11,False Public Alarm,Open Investigation,2019-05-19 05:07:00,2019,139,5,6,weekend,KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,LOST AND FOUND
12,12,12,Trespassing,Closed,2019-06-14 02:03:00,2019,165,6,4,day_weekday,INNOVATION 4.0,PGP,1.294254531,103.775948,DAMAGED PROPERTY
13,13,13,Identity Theft,Open Investigation,2019-04-16 13:11:00,2019,106,4,1,day_weekday,COMMUNAL BLK B,KV,1.302552874,103.7685982,LOST AND FOUND
14,14,14,Harassment: Bias Incident, Arrest,2019-01-04 05:29:00,2019,4,1,4,day_weekday,CINNAMON UNI SCH PROG (USP),UTown,1.306525122,103.7734295,LOST AND FOUND
15,15,15,Harassment,Arrest,2019-01-17 21:32:00,2019,17,1,3,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,DAMAGED PROPERTY
16,16,16,False Public Alarm,Arrest,2019-01-16 05:41:00,2019,16,1,2,day_weekday,TECH CTR FOR OFFSHORE & MARINE,PGP,1.293515294,103.7769167,LOST AND FOUND
17,17,17,Lewdness,Arrest,2019-04-04 19:25:00,2019,94,4,3,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,SEXUAL INCIDENTS
18,18,18,Theft,Arrest,2018-11-01 14:49:00,2018,305,11,3,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND
19,19,19,Shoplifting,,2018-10-15 06:22:00,2018,288,10,0,day_weekday,1 KR BUNGALOW,KR,1.293041343,103.7811579,STOLEN ITEMS
20,20,20,Shoplifting,Arrest,2019-06-26 16:22:00,2019,177,6,2,day_weekday,"COMMUNAL BLK A, 121",KV,1.302400027,103.7689415,STOLEN ITEMS
21,21,21,Theft,Open Investigation,2019-02-25 08:26:00,2019,56,2,0,day_weekday,ENGINEERING BLOCK 2,CDE,1.299314011,103.7711967,LOST AND FOUND
22,22,22,Harassment: Trespassing,Closed,2018-09-03 08:20:00,2018,246,9,0,day_weekday,TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,LOST AND FOUND
23,23,23,Trespass,Open Investigation,2018-11-12 12:38:00,2018,316,11,0,day_weekday,BOOSTER PUMP HSE(NEXT LKCNHM),UCC,1.301382961,103.7733115,EMERGENCY INCIDENTS
