"IncidentID","Classification","Disposition","Open","Add","Close","Year","DayOfYear","Month","DayOfWeek","time_period","Building","Location","Longtitude","Latitude","Incidents"
1,"Obstruction of Justice","Open Investigation",2019-02-13 13:05:00,2.06235944082035,2019-02-15 14:34:48,2019,44,2,2,"day_weekday","SRC MINI GRAND STAND","YIH",1.298645794,103.7777397,"LOST AND FOUND"
2,"Theft","Open Investigation",2019-03-02 13:55:00,2.41337228975998,2019-03-04 23:50:15,2019,61,3,5,"weekend","PGP RESIDENCES (BLOCK 13)","PGP",1.290867796,103.7802755,"LOST AND FOUND"
3,"Liquor Law Violation","Open Investigation",2019-03-18 03:05:00,2.62744888933207,2019-03-20 18:08:32,2019,77,3,0,"day_weekday","PGP RESIDENCES CANTEEN 2","PGP",1.290619681,103.7816946,"LOST AND FOUND"
4,"Theft","Open Investigation",2018-11-16 16:42:00,3.64458728306986,2018-11-20 08:10:12,2018,320,11,4,"day_weekday","KENT VALE APARTMENT BLK G, 115","KV",1.30249388,103.7703148,"LOST AND FOUND"
5,"Assault","Open Investigation",2018-09-28 14:03:00,6.32844598122752,2018-10-04 21:55:58,2018,271,9,4,"day_weekday","YALE FITNESS CENTER","UTown",1.307478693,103.7725849,"DAMAGED PROPERTY"
6,"False Public Alarm","Closed",2019-11-15 04:10:00,2.70252139298834,2019-11-17 21:01:38,2019,319,11,4,"day_weekday","NATIONAL SINGAPORE WIND TUNNEL","UCC",1.300768273,103.7753832,"LOST AND FOUND"
7,"Theft","Open Investigation",2018-10-31 00:28:00,2.9902520516832,2018-11-03 00:13:58,2018,304,10,2,"day_weekday","20 EVANS BUNGALOW","BTC",1.318059047,103.8199399,"LOST AND FOUND"
8,"Disorderly Conduct","Unfounded",2019-04-25 20:04:00,8.7051837219381,2019-05-04 12:59:28,2019,115,4,3,"day_weekday","SCIENCE BLOCK 12","FOS",1.296959412,103.778681,"SEXUAL INCIDENTS"
9,"Shoplifting","Arrest",2019-04-24 22:18:00,2.72882619571354,2019-04-27 15:47:31,2019,114,4,2,"day_weekday","COMPUTING BLOCK 2","SOC",1.294225262,103.7740172,"STOLEN ITEMS"
10,"Harassment: Bias Incident","Closed",2019-10-11 10:56:00,2.53738399847221,2019-10-13 23:49:50,2019,284,10,4,"day_weekday","KENT RIDGE (COMMUNAL HALL)","HALL",1.29179854,103.7747805,"LOST AND FOUND"
11,"Trespass","Closed",2019-01-21 19:40:00,0.942756299703062,2019-01-22 18:17:34,2019,21,1,0,"day_weekday","KENT VALE APARTMENT BLK A,103","KV",1.301286274,103.7690165,"EMERGENCY INCIDENTS"
12,"False Public Alarm","Open Investigation",2019-05-19 05:07:00,3.3701786487741,2019-05-22 14:00:03,2019,139,5,6,"weekend","KENT VALE GUARDHOUSE","HALL",1.302213361,103.7692536,"LOST AND FOUND"
13,"Trespassing","Closed",2019-06-14 02:03:00,7.75726858137412,2019-06-21 20:13:28,2019,165,6,4,"day_weekday","INNOVATION 4.0","PGP",1.294254531,103.775948,"DAMAGED PROPERTY"
14,"Identity Theft","Open Investigation",2019-04-16 13:11:00,3.19473987904052,2019-04-19 17:51:26,2019,106,4,1,"day_weekday","COMMUNAL BLK B","KV",1.302552874,103.7685982,"LOST AND FOUND"
15,"Harassment: Bias Incident","Arrest",2019-01-04 05:29:00,3.40782060978336,2019-01-07 15:16:16,2019,4,1,4,"day_weekday","CINNAMON UNI SCH PROG (USP)","UTown",1.306525122,103.7734295,"LOST AND FOUND"
16,"Harassment","Arrest",2019-01-17 21:32:00,8.12159150869509,2019-01-26 00:27:06,2019,17,1,3,"day_weekday","CTR FOR ENGLISH LANGUAGE COMMUNICATION","CDE",1.297113412,103.7714078,"DAMAGED PROPERTY"
17,"False Public Alarm","Arrest",2019-01-16 05:41:00,2.90110085425353,2019-01-19 03:18:35,2019,16,1,2,"day_weekday","TECH CTR FOR OFFSHORE & MARINE","PGP",1.293515294,103.7769167,"LOST AND FOUND"
18,"Lewdness","Arrest",2019-04-04 19:25:00,10.427098260185,2019-04-15 05:40:01,2019,94,4,3,"day_weekday","BTC-MANASSEH MEYER","BTC",1.319098649,103.8176172,"SEXUAL INCIDENTS"
19,"Theft","Arrest",2018-11-01 14:49:00,2.47475138402811,2018-11-04 02:12:39,2018,305,11,3,"day_weekday","SRC MINI GRAND STAND","YIH",1.298645794,103.7777397,"LOST AND FOUND"
20,"Shoplifting",NA,2018-10-15 06:22:00,1.19784076491453,2018-10-16 11:06:53,2018,288,10,0,"day_weekday","1 KR BUNGALOW","KR",1.293041343,103.7811579,"STOLEN ITEMS"
21,"Shoplifting","Arrest",2019-06-26 16:22:00,2.24149383953959,2019-06-28 22:09:45,2019,177,6,2,"day_weekday","COMMUNAL BLK A, 121","KV",1.302400027,103.7689415,"STOLEN ITEMS"
22,"Theft","Open Investigation",2019-02-25 08:26:00,2.97173825277454,2019-02-28 07:45:18,2019,56,2,0,"day_weekday","ENGINEERING BLOCK 2","CDE",1.299314011,103.7711967,"LOST AND FOUND"
23,"Harassment: Trespassing","Closed",2018-09-03 08:20:00,3.15467131957999,2018-09-06 12:02:44,2018,246,9,0,"day_weekday","TEMASEK HALL (COMMUNAL HALL)","HALL",1.292822129,103.7714113,"LOST AND FOUND"
24,"Trespass","Open Investigation",2018-11-12 12:38:00,2.73582859123943,2018-11-15 06:17:36,2018,316,11,0,"day_weekday","BOOSTER PUMP HSE(NEXT LKCNHM)","UCC",1.301382961,103.7733115,"EMERGENCY INCIDENTS"
25,"Assault","Closed",2019-01-28 07:27:00,5.16064750755318,2019-02-02 11:18:20,2019,28,1,0,"day_weekday","YALE EAST CORE","UTown",1.305538246,103.7720734,"DAMAGED PROPERTY"
26,"Theft: Bias Incident","Judicial Referral",2019-04-29 21:47:00,4.13622182164247,2019-05-04 01:03:10,2019,119,4,0,"day_weekday","YUSOF ISHAK HOUSE","YIH",1.29851672,103.7749707,"LOST AND FOUND"
27,"Extortion","Open Investigation",2019-10-08 14:23:00,2.59474594536724,2019-10-11 04:39:26,2019,281,10,1,"day_weekday","KE VII HALL (BLOCK F)","PGP",1.293186194,103.7808347,"LOST AND FOUND"
28,"Attempted Fraud","Open Investigation",2019-03-14 18:55:00,2.88528148497709,2019-03-17 16:09:48,2019,73,3,3,"day_weekday","PGP RESIDENCES (BLOCK 25)","PGP",1.290200342,103.7806037,"LOST AND FOUND"
29,"Shoplifting","Closed",2019-10-10 18:01:00,1.16238405561167,2019-10-11 21:54:50,2019,283,10,3,"day_weekday","PGP RESIDENCES (BLOCK 16)","PGP",1.291523732,103.7801396,"STOLEN ITEMS"
30,"Theft","Open Investigation",2019-02-07 17:50:00,3.2741562604369,2019-02-11 00:24:47,2019,38,2,3,"day_weekday","KENT RIDGE (COMMUNAL HALL)","HALL",1.29179854,103.7747805,"LOST AND FOUND"
31,"Trespass","Unfounded",2018-12-07 17:09:00,-0.419947703200856,2018-12-07 07:04:17,2018,341,12,4,"day_weekday","NUHS-MAIN BUILDING","FOS",1.294399964,103.7835039,"EMERGENCY INCIDENTS"
32,"Harassment: Bias Incident","Open Investigation",2019-01-31 00:33:00,3.05778890035024,2019-02-03 01:56:13,2019,31,1,3,"day_weekday","SUB-STATION 4 (NEAR KEVII)","PGP",1.292213805,103.7814032,"LOST AND FOUND"
33,"False Public Alarm","Open Investigation",2019-11-26 20:06:00,3.31954926521133,2019-11-30 03:46:09,2019,330,11,1,"day_weekday","CTR FOR THE ARTS","YIH",1.29917139,103.7737631,"LOST AND FOUND"
34,"Shoplifting","Open Investigation",2019-06-19 02:33:00,2.00579855735279,2019-06-21 02:41:21,2019,170,6,2,"day_weekday","5 KR BUNGALOW","KR",1.294572999,103.7796455,"STOLEN ITEMS"
