datetime,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Longtitude,Latitude,Incidents
13/2/19 13:05,2019,44,2,2,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND
2/3/19 13:55,2019,61,3,5,weekend,PGP RESIDENCES (BLOCK 13),PGP,1.290867796,103.7802755,LOST AND FOUND
18/3/19 3:05,2019,77,3,0,day_weekday,PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,LOST AND FOUND
16/11/18 16:42,2018,320,11,4,day_weekday,"KENT VALE APARTMENT BLK G, 115",KV,1.30249388,103.7703148,LOST AND FOUND
28/9/18 14:03,2018,271,9,4,day_weekday,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,DAMAGED PROPERTY
15/11/19 4:10,2019,319,11,4,day_weekday,NATIONAL SINGAPORE WIND TUNNEL,UCC,1.300768273,103.7753832,LOST AND FOUND
31/10/18 0:28,2018,304,10,2,day_weekday,20 EVANS BUNGALOW,BTC,1.318059047,103.8199399,LOST AND FOUND
25/4/19 20:04,2019,115,4,3,day_weekday,SCIENCE BLOCK 12,FOS,1.296959412,103.778681,SEXUAL INCIDENTS
24/4/19 22:18,2019,114,4,2,day_weekday,COMPUTING BLOCK 2,SOC,1.294225262,103.7740172,STOLEN ITEMS
11/10/19 10:56,2019,284,10,4,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND
21/1/19 19:40,2019,21,1,0,day_weekday,"KENT VALE APARTMENT BLK A,103",KV,1.301286274,103.7690165,EMERGENCY INCIDENTS
19/5/19 5:07,2019,139,5,6,weekend,KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,LOST AND FOUND
14/6/19 2:03,2019,165,6,4,day_weekday,INNOVATION 4.0,PGP,1.294254531,103.775948,DAMAGED PROPERTY
16/4/19 13:11,2019,106,4,1,day_weekday,COMMUNAL BLK B,KV,1.302552874,103.7685982,LOST AND FOUND
4/1/19 5:29,2019,4,1,4,day_weekday,CINNAMON UNI SCH PROG (USP),UTown,1.306525122,103.7734295,LOST AND FOUND
17/1/19 21:32,2019,17,1,3,day_weekday,CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,DAMAGED PROPERTY
16/1/19 5:41,2019,16,1,2,day_weekday,TECH CTR FOR OFFSHORE & MARINE,PGP,1.293515294,103.7769167,LOST AND FOUND
4/4/19 19:25,2019,94,4,3,day_weekday,BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,SEXUAL INCIDENTS
1/11/18 14:49,2018,305,11,3,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND
15/10/18 6:22,2018,288,10,0,day_weekday,1 KR BUNGALOW,KR,1.293041343,103.7811579,STOLEN ITEMS
26/6/19 16:22,2019,177,6,2,day_weekday,"COMMUNAL BLK A, 121",KV,1.302400027,103.7689415,STOLEN ITEMS
25/2/19 8:26,2019,56,2,0,day_weekday,ENGINEERING BLOCK 2,CDE,1.299314011,103.7711967,LOST AND FOUND
3/9/18 8:20,2018,246,9,0,day_weekday,TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,LOST AND FOUND
12/11/18 12:38,2018,316,11,0,day_weekday,BOOSTER PUMP HSE(NEXT LKCNHM),UCC,1.301382961,103.7733115,EMERGENCY INCIDENTS
28/1/19 7:27,2019,28,1,0,day_weekday,YALE EAST CORE,UTown,1.305538246,103.7720734,DAMAGED PROPERTY
29/4/19 21:47,2019,119,4,0,day_weekday,YUSOF ISHAK HOUSE,YIH,1.29851672,103.7749707,LOST AND FOUND
8/10/19 14:23,2019,281,10,1,day_weekday,KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,LOST AND FOUND
14/3/19 18:55,2019,73,3,3,day_weekday,PGP RESIDENCES (BLOCK 25),PGP,1.290200342,103.7806037,LOST AND FOUND
10/10/19 18:01,2019,283,10,3,day_weekday,PGP RESIDENCES (BLOCK 16),PGP,1.291523732,103.7801396,STOLEN ITEMS
7/2/19 17:50,2019,38,2,3,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND
7/12/18 17:09,2018,341,12,4,day_weekday,NUHS-MAIN BUILDING,FOS,1.294399964,103.7835039,EMERGENCY INCIDENTS
31/1/19 0:33,2019,31,1,3,day_weekday,SUB-STATION 4 (NEAR KEVII),PGP,1.292213805,103.7814032,LOST AND FOUND
26/11/19 20:06,2019,330,11,1,day_weekday,CTR FOR THE ARTS,YIH,1.29917139,103.7737631,LOST AND FOUND
19/6/19 2:33,2019,170,6,2,day_weekday,5 KR BUNGALOW,KR,1.294572999,103.7796455,STOLEN ITEMS
3/10/19 12:30,2019,276,10,3,day_weekday,9 PGP BUNGALOW,PGP,1.293962325,103.7773228,DAMAGED PROPERTY
18/6/19 2:24,2019,169,6,1,day_weekday,SCIENCE BLOCK 7,FOS,1.296276183,103.7788705,EMERGENCY INCIDENTS
