,Unnamed: 0,Classification,Disposition,datetime,time period,Year,DayOfYear,Month,DayOfWeek,time_period,Location,Building
0,0,Obstruction of Justice,Open Investigation,2019-02-13 13:05:00,day_weekday,2019,44,2,2,day_weekday,YIH,ENGINEERING BLOCK A
1,1,Theft,Open Investigation,2019-03-02 13:55:00,weekend,2019,61,3,5,weekend,PGP,CTR FOR THE ARTS
2,2,Liquor Law Violation,Open Investigation,2019-03-18 03:05:00,day_weekday,2019,77,3,0,day_weekday,HALL,PGP RESIDENCES (BLOCK 6)
3,3,Theft,Open Investigation,2018-11-16 16:42:00,day_weekday,2018,320,11,4,day_weekday,PGP,SCIENCE BLOCK 11
4,4,Assault,Open Investigation,2018-09-28 14:03:00,day_weekday,2018,271,9,4,day_weekday,BTC,MEDICINE BLOCK 9
5,5,False Public Alarm,Closed,2019-11-15 04:10:00,day_weekday,2019,319,11,4,day_weekday,UTown,CREATE (INNOVATION)
6,6,Theft,Open Investigation,2018-10-31 00:28:00,day_weekday,2018,304,10,2,day_weekday,PGP,MD11 CARPARK
7,7,Disorderly Conduct,Unfounded,2019-04-25 20:04:00,day_weekday,2019,115,4,3,day_weekday,YIH,YSTCM CARPARK
8,8,Shoplifting,Arrest,2019-04-24 22:18:00,day_weekday,2019,114,4,2,day_weekday,FOS,14A PGP BUNGALOW
9,9,Harassment: Bias Incident,Closed,2019-10-11 10:56:00,day_weekday,2019,284,10,4,day_weekday,CDE,TAN CHENG LOCK BABA HSE MUSEUM
10,10,Trespass,Closed,2019-01-21 19:40:00,day_weekday,2019,21,1,0,day_weekday,UTown,CANTEEN 1 (TECHNO EDGE)
11,11,False Public Alarm,Open Investigation,2019-05-19 05:07:00,weekend,2019,139,5,6,weekend,PGP,EUSOFF HALL (COMMUNAL HALL)
12,12,Trespassing,Closed,2019-06-14 02:03:00,day_weekday,2019,165,6,4,day_weekday,PGP,LECTURE THEATRE 16
13,13,Identity Theft,Open Investigation,2019-04-16 13:11:00,day_weekday,2019,106,4,1,day_weekday,PGP,3 PGP BUNGALOW
14,14,Harassment: Bias Incident, Arrest,2019-01-04 05:29:00,day_weekday,2019,4,1,4,day_weekday,FOS,PGP RESIDENCES (BLOCK 28)
15,15,Harassment,Arrest,2019-01-17 21:32:00,day_weekday,2019,17,1,3,day_weekday,CDE,NUS SOCIETY-GUILD HOUSE
16,16,False Public Alarm,Arrest,2019-01-16 05:41:00,day_weekday,2019,16,1,2,day_weekday,HALL,LECTURE THEATRE 10
17,17,Lewdness,Arrest,2019-04-04 19:25:00,day_weekday,2019,94,4,3,day_weekday,CDE,4 KR BUNGALOW
18,18,Theft,Arrest,2018-11-01 14:49:00,day_weekday,2018,305,11,3,day_weekday,FOS,DINNING HALL (C&T COLLEGE)
19,19,Shoplifting,,2018-10-15 06:22:00,day_weekday,2018,288,10,0,day_weekday,FASS,SCIENCE BLOCK 15
20,20,Shoplifting,Arrest,2019-06-26 16:22:00,day_weekday,2019,177,6,2,day_weekday,PGP,PGP RESIDENCES (BLOCK 23)
21,21,Theft,Open Investigation,2019-02-25 08:26:00,day_weekday,2019,56,2,0,day_weekday,PGP,TEMASEK HALL (BLOCK D)
22,22,Harassment: Trespassing,Closed,2018-09-03 08:20:00,day_weekday,2018,246,9,0,day_weekday,FASS,CENTRAL LIBRARY
23,23,Trespass,Open Investigation,2018-11-12 12:38:00,day_weekday,2018,316,11,0,day_weekday,FASS,MULTI-PURPOSE HALL 1 - 4
24,24,Assault,Closed,2019-01-28 07:27:00,day_weekday,2019,28,1,0,day_weekday,KV,MEDICINE BLOCK 10
25,25,Theft: Bias Incident,Judicial Referral,2019-04-29 21:47:00,day_weekday,2019,119,4,0,day_weekday,KV,CREATE CARPARK
26,26,Extortion,Open Investigation,2019-10-08 14:23:00,day_weekday,2019,281,10,1,day_weekday,FASS,RIDGE VIEW RESIDENCE (BLOCK C)
27,27,Attempted Fraud,Open Investigation,2019-03-14 18:55:00,day_weekday,2019,73,3,3,day_weekday,YIH,ENGINEERING BLOCK 8
28,28,Shoplifting,Closed,2019-10-10 18:01:00,day_weekday,2019,283,10,3,day_weekday,YIH,HON SUI SEN MEMORIAL LIBRARY
29,29,Theft,Open Investigation,2019-02-07 17:50:00,day_weekday,2019,38,2,3,day_weekday,CDE,KENT RIDGE (COMMUNAL HALL)
30,30,Trespass,Unfounded,2018-12-07 17:09:00,day_weekday,2018,341,12,4,day_weekday,PGP,KENT VALE CHILD CARE CENTRE
31,31,Harassment: Bias Incident,Open Investigation,2019-01-31 00:33:00,day_weekday,2019,31,1,3,day_weekday,CDE,CANTEEN 1 (TECHNO EDGE)
32,32,False Public Alarm,Open Investigation,2019-11-26 20:06:00,day_weekday,2019,330,11,1,day_weekday,YIH,FASS BLK7 (SHAW FDN BLDG)
33,33,Shoplifting,Open Investigation,2019-06-19 02:33:00,day_weekday,2019,170,6,2,day_weekday,PGP,16 EVANS BUNGALOW
34,34,Assault,Open Investigation,2019-10-03 12:30:00,day_weekday,2019,276,10,3,day_weekday,BIZ,18 PGP BUNGALOW
35,35,Trespass, Closed,2019-06-18 02:24:00,day_weekday,2019,169,6,1,day_weekday,HMKT,PGP RESIDENCES (BLOCK 2)
36,36,Criminal Mischief,Arrest,2019-03-26 13:09:00,day_weekday,2019,85,3,1,day_weekday,FASS,SCIENCE BLOCK 1
37,37,Harassment,Open Investigation,2019-07-10 13:34:00,day_weekday,2019,191,7,2,day_weekday,YIH,SHEARES HALL (BLOCK B)
38,38,Criminal Mischief,Open Investigation,2019-06-01 16:25:00,weekend,2019,152,6,5,weekend,PGP,ARTS & SOCIAL SCIENCES BLOCK 4
39,39,Theft,Open Investigation,2019-09-19 21:26:00,day_weekday,2019,262,9,3,day_weekday,KR,LECTURE THEATRE 6
