Buildings,Location
10 KR BUNGALOW,KR
11 KR BUNGALOW,KR
12A KR BUNGALOW,KR
12 KR BUNGALOW,KR
14A PGP BUNGALOW,PGP
14 KR BUNGALOW,KR
14 PGP BUNGALOW,PGP
16 EVANS BUNGALOW,BTC
17 PGP BUNGALOW,PGP
18A PGP BUNGALOW,PGP
18 EVANS BUNGALOW,BTC
18 PGP BUNGALOW,PGP
1 KR BUNGALOW,KR
20 EVANS BUNGALOW,BTC
2 KR BUNGALOW,KR
2 PGP BUNGALOW,PGP
3 KR BUNGALOW,KR
3 PGP BUNGALOW,PGP
4 KR BUNGALOW,KR
4 PGP BUNGALOW,PGP
5 KR BUNGALOW,KR
5 PGP BUNGALOW,PGP
6 KR BUNGALOW,KR
6 PGP BUNGALOW,PGP
7 PGP BUNGALOW,PGP
8 PGP BUNGALOW,PGP
9 KR BUNGALOW,KR
9 PGP BUNGALOW,PGP
ALICE LEE PLAZA,UCC
ARTS & SOCIAL SCIENCES BLOCK 1,FASS
ARTS & SOCIAL SCIENCES BLOCK 2,FASS
ARTS & SOCIAL SCIENCES BLOCK 3,FASS
ARTS & SOCIAL SCIENCES BLOCK 4,FASS
ARTS & SOCIAL SCIENCES BLOCK 5,FASS
ARTS & SOCIAL SCIENCES BLOCK 6,FASS
FASS BLK7 (SHAW FDN BLDG),FASS
ARTS & SOCIAL SCIENCES BLOCK 8,FASS
TAN CHENG LOCK BABA HSE MUSEUM,DNMS
BTC-BLOCK B,BTC
BRENNER CTR FOR MOLECULAR MED,FOS
BTC-BIN CENTRE,BTC
BUSINESS BLOCK 1-MOCHTAR RIADY,BIZ
BUSINESS BLOCK 2,BIZ
NUS ENTERPRISE-JTC BLK71,BIZ
BOOSTER PUMP HSE(NEXT LKCNHM),UCC
BTC-CAFE,BTC
CANTEEN 1 (TECHNO EDGE),CDE
CANTEEN 4 (FRONTIER),FOS
INFORMATION TECHNOLOGY,CDE
CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE
CTR FOR LIFE SCIENCES,FOS
CTR FOR THE ARTS,UTown
RAFFLES HALL (COMMUNAL HALL),YIH
KE VII HALL (COMMUNAL HALL),PGP
TEMASEK HALL (COMMUNAL HALL),HALL
EUSOFF HALL (COMMUNAL HALL),HALL
CENTRAL LIBRARY,FASS
COMPUTING BLOCK 1,SOC
COMPUTING BLOCK 2,SOC
COMPUTING BLOCK 3,SOC
AS8 CARPARK,FASS
BIZ1 CARPARK,BIZ
CELS CARPARK,FOS
CREATE CARPARK,UTown
DNMS CARPARK,DNMS
DSO CARPARK,FOS
E6 CARPARK,CDE
ISS CARPARK,SOC
MD11 CARPARK,FOS
PGPR CARPARK,PGP
SRC CARPARK,UTown
T-LAB CARPARK,CDE
TLL CARPARK,CDE
UHALL CARPARK,UTown
YSTCM CARPARK,UCC
CRISP (NEAR KEVII HALL),PGP
CENTRAL STORAGE LIBRARY ANNEX,FASS
DUKE-NUS MEDSH-KHOOTECKPUAT BG,DNMS
DSO BUILDING,FOS
ENGINEERING BLOCK A,CDE
ENGINEERING AUDITORIUM,CDE
ENGINEERING BLOCK 1,CDE
ENGINEERING BLOCK 1A,CDE
ENGINEERING BLOCK 2,CDE
ENGINEERING BLOCK 2A (EDIC),CDE
ENGINEERING BLOCK 3,CDE
ENGINEERING BLOCK 3A,CDE
ENGINEERING BLOCK 4,CDE
ENGINEERING BLOCK 4A,CDE
ENGINEERING BLOCK 5,CDE
ENGINEERING BLOCK 6,CDE
ENGINEERING BLOCK 7,CDE
ENGINEERING BLOCK 8,CDE
EL SERVICE RESERVOIRS 1&2,CDE
BTC-EU TONG SEN,BTC
ENGINEERING WORKSHOP 1,CDE
ENGINEERING WORKSHOP 1A,CDE
EXPERIMENTAL HOUSE,CDE
NUS STAFF CLUB,YIH
BTC-FEDERAL,BTC
NUS SOCIETY-GUILD HOUSE,BIZ
RIDGE VIEW RESIDENCE (BLOCK A),YIH
RIDGE VIEW RESIDENCE (BLOCK B),YIH
RIDGE VIEW RESIDENCE (BLOCK C),YIH
RIDGE VIEW RESIDENCE (BLOCK D),YIH
RIDGE VIEW RESIDENCE (BLOCK E),YIH
RIDGE VIEW RESIDENCE (BLOCK G),YIH
RAFFLES HALL (BLOCK A),YIH
RAFFLES HALL (BLOCK B),YIH
RAFFLES HALL (EXTENSION TO BLOCK B &D),YIH
RAFFLES HALL (BLOCK C),YIH
RAFFLES HALL (BLOCK D),YIH
RAFFLES HALL (BLOCK E),YIH
KE VII HALL (BLOCK A),PGP
KE VII HALL (BLOCK B),PGP
KE VII HALL (BLOCK C),PGP
KE VII HALL (BLOCK D),PGP
KE VII HALL (BLOCK E),PGP
KE VII HALL (BLOCK F),PGP
KE VII HALL (BLOCK G),PGP
KE VII HALL (BLOCK H),PGP
TEMASEK HALL (BLOCK A),HALL
TEMASEK HALL (BLOCK B),HALL
TEMASEK HALL (BLOCK C),HALL
TEMASEK HALL (BLOCK D),HALL
TEMASEK HALL (BLOCK E),HALL
EUSOFF HALL (BLOCK A),HALL
EUSOFF HALL (BLOCK B),HALL
EUSOFF HALL (BLOCK C),HALL
EUSOFF HALL (BLOCK D),HALL
EUSOFF HALL (BLOCK E),HALL
RIDGE VIEW TOWER BLK (RVF),YIH
KUOK FOUNDATION HOUSE,YIH
HENG MUI KENG TERRACE BLOCK B,HMKT
HOUSE 5,HALL
HOUSE 5 ANNEX,HALL
HON SUI SEN MEMORIAL LIBRARY,BIZ
I3,SOC
INNOVATION 4.0,PGP
INSTITUTE OF SYSTEMS SCIENCE,HALL
KENT RIDGE (COMMUNAL HALL),HALL
KENT RIDGE HALL (BLOCK A),HALL
KENT RIDGE HALL (BLOCK B),HALL
KENT RIDGE HALL (BLOCK C),HALL
KENT RIDGE HALL (BLOCK D),HALL
KENT RIDGE HALL (BLOCK E),HALL
SHEARS HALL/KENT RIDGE HALL SHARED SPACE,HALL
KENT VALE GUARDHOUSE,HALL
"KENT VALE APARTMENT BLK A,103",KV
"KENT VALE APARTMENT BLK B, 105",KV
"KENT VALE APARTMENT BLK C, 111",KV
"KENT VALE APARTMENT BLK D, 113",KV
"KENT VALE APARTMENT BLK E, 109",KV
"KENT VALE APARTMENT BLK F, 107",KV
"KENT VALE APT GERANIUM BLK, 101",KV
KENT VALE CHILD CARE CENTRE,KV
COMMUNAL BLK B,KV
"COMMUNAL BLK A, 121",KV
"KENT VALE APARTMENT BLK G, 115",KV
"KENT VALE APARTMENT BLK H, 117",KV
"KENT VALE APARTMENT BLK I, 119",KV
SUB-STATION/BIN CENTRE,KV
BTC-CJ KOH LIBRARY,BTC
BTC-LI KA SHING BUILDING,BTC
BTC-LECTURE THEATRE,BTC
LECTURE THEATRE 1,CDE
LECTURE THEATRE 10,FASS
LECTURE THEATRE 11,FASS
LECTURE THEATRE 12,FASS
LECTURE THEATRE 13,FASS
LECTURE THEATRE 14,SOC
LECTURE THEATRE 15,SOC
LECTURE THEATRE 16,SOC
LECTURE THEATRE 17,SOC
LECTURE THEATRE 18,SOC
LECTURE THEATRE 19,SOC
LECTURE THEATRE 2,CDE
LECTURE THEATRE 20,FOS
LECTURE THEATRE 21,FOS
LECTURE THEATRE 26,FOS
LT 27 (LIM SENG TJOE LECTURE),FOS
LECTURE THEATRE 28,FOS
LECTURE THEATRE 29,FOS
LECTURE THEATRE 3,CDE
LECTURE THEATRE 31,FOS
LECTURE THEATRE 32,FOS
LECTURE THEATRE 33,FOS
LECTURE THEATRE 34,FOS
LECTURE THEATRE 35 (PETER AND MARY FU),FOS
LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS
LECTURE THEATRE 37,FOS
LECTURE THEATRE 4,CDE
LECTURE THEATRE 6,CDE
LECTURE THEATRE 7,CDE
LECTURE THEATRE 7A,CDE
LECTURE THEATRE 8,FASS
LECTURE THEATRE 9,FASS
BTC-MOOT COURT,BTC
MD BLK 1  (TAHIR FDN BLDG),FOS
MEDICINE BLOCK 10,FOS
MEDICINE BLOCK 11,FOS
MEDICINE BLOCK 2,FOS
MEDICINE BLOCK 3,FOS
MEDICINE BLOCK 4,FOS
MD BLK 6 (CTR FOR TRANS  MED),FOS
MEDICINE BLOCK 7,FOS
MEDICINE BLOCK 9,FOS
BTC-MANASSEH MEYER,BTC
BTC- MULTIPURPOSE AUDITORIUM,BTC
