,Classification,Disposition,datetime
0,Criminal Mischief,Open Investigation,2023-04-29 15:58:31
1,Harassment: Domestic Violence,Open Investigation,2023-09-06 08:03:37
2,Harassment,Open Investigation,2023-06-23 18:02:19
3,Trespassing, Arrest,2023-01-19 00:40:24
4,Assault,Arrest,2023-06-07 05:07:03
5,Trespass, Closed,2023-02-16 21:18:02
6,Harassment: Domestic Violence,Open Investigation,2023-02-20 15:34:11
7,Shoplifting,Arrest,2023-04-17 22:05:27
8,Fraud,Open Investigation,2023-06-23 02:38:40
9,Theft,Unfounded,2023-03-21 01:47:17
10,Stalking,Closed,2023-04-04 09:33:49
11,Theft,Open Investigation,2023-01-05 22:52:09
12,Harassment,Open Investigation,2023-05-17 09:30:50
13,Trespassing,,2023-10-29 03:26:58
14,Theft,Open Investigation,2023-01-06 10:40:52
15,Harassment,Open Investigation,2023-01-10 21:31:48
16,Fraud,Open Investigation,2023-01-17 21:03:28
17,Rape,Closed,2022-12-17 11:40:07
18,Trespassing,Arrest,2023-02-02 22:08:37
19,Trespassing,Arrest,2023-05-20 07:31:15
20,False Public Alarm,Open Investigation,2023-05-20 20:34:27
21,Trespassing,Arrest,2023-01-22 02:59:36
22,Trespassing, Arrest,2022-11-14 13:56:41
23,Obstruction of Justice,Arrest,2023-02-05 13:44:38
24,Trespassing,,2023-10-28 09:09:58
25,Lewdness,Arrest,2022-10-25 17:05:20
26,Trespassing,,2023-11-05 16:15:02
27,False Public Alarm,Unfounded,2022-10-30 03:21:38
28,Bias Intimidation,Open Investigation,2023-10-28 13:53:39
29,Theft,Unfounded,2023-02-23 22:52:21
30,Trespassing,Arrest,2023-03-10 19:44:14
31,Criminal Mischief,Open Investigation,2023-04-17 11:12:02
32,Shoplifting,Open Investigation,2023-02-04 14:14:00
33,Burglary,Arrest,2023-03-14 04:19:02
34,Trespassing,Open Investigation,2023-03-16 12:56:38
35,Theft,Unfounded,2022-11-28 04:51:50
36,Theft,Unfounded,2023-01-16 06:07:04
37,Harassment,Open Investigation,2023-06-15 18:30:47
38,Theft,Open Investigation,2023-09-21 10:37:12
39,Theft,Unfounded,2023-01-17 10:02:57
40,Criminal Mischief,Open Investigation,2023-04-14 08:42:37
41,Theft,Open Investigation,2023-09-26 22:55:24
42,Harassment: Fraud,Arrest,2023-05-18 16:09:24
43,Theft,Unfounded,2023-08-27 15:59:34
44,Shoplifting,Open Investigation,2023-01-15 00:55:37
45,Hindering Possession of Burglary Tools,Arrest,2023-02-15 11:34:14
46,Theft,Unfounded,2023-09-06 20:15:16
47,Trespassing,Arrest,2023-06-07 15:19:21
48,Trespassing,Arrest,2023-05-08 20:47:27
49,Rape,Closed,2023-07-14 18:30:31
50,Burglary,Arrest,2023-03-15 22:15:57
51,Trespassing,,2023-09-23 12:22:41
52,Theft,Open Investigation,2023-06-06 14:10:12
53,Burglary,Open Investigation,2023-03-11 21:30:04
