,Date,Time,Crime,Location,Building
0,10/04/2023,21:06,STOLEN ITEMS,FOS,SCIENCE BLOCK 9
1,11/04/2023,16:46,LOST AND FOUND,FOS,CTR FOR LIFE SCIENCES
2,12/04/2022,7:05,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK C)
3,08/09/2023,10:46,DAMAGED PROPERTY,YIH,RAFFLES HALL (COMMUNAL HALL)
4,03/03/2022,18:29,LOST AND FOUND,UTown,YALE RESIDENTIAL COLLEGE 1
5,16/06/2023,17:37,EMERGENCY INCIDENTS,FOS,CTR FOR LIFE SCIENCES
6,19/06/2022,16:57,LOST AND FOUND,HALL,SHEARES HALL (BLOCK D)
7,28/04/2023,18:28,LOST AND FOUND,UTown,CTR FOR THE ARTS
8,23/01/2023,17:39,EMERGENCY INCIDENTS,YIH,MULTI-PURPOSE HALL 5 & 6
9,31/08/2022,23:03,LOST AND FOUND,PGP,SUB-STATION 4 (NEAR KEVII)
10,06/01/2023,15:21,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK E)
11,17/05/2022,12:48,DAMAGED PROPERTY,PGP,18A PGP BUNGALOW
12,08/12/2022,9:56,LOST AND FOUND,PGP,KE VII HALL (BLOCK F)
13,03/08/2023,8:07,LOST AND FOUND,PGP,4 PGP BUNGALOW
14,10/05/2023,15:24,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 11
15,04/02/2022,20:18,LOST AND FOUND,CDE,ENGINEERING BLOCK 7
16,03/09/2022,22:31,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 22)
17,06/05/2022,3:04,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 16)
18,02/01/2023,15:49,LOST AND FOUND,FOS,LECTURE THEATRE 37
19,11/04/2023,10:17,DAMAGED PROPERTY,SOC,LECTURE THEATRE 19
20,27/09/2022,20:11,LOST AND FOUND,YIH,RIDGE VIEW RESIDENCE (BLOCK G)
21,17/03/2023,20:34,DAMAGED PROPERTY,BTC,BTC-BLOCK B
22,27/07/2023,18:21,EMERGENCY INCIDENTS,FOS,LECTURE THEATRE 26
23,21/07/2023,19:53,LOST AND FOUND,CDE,LECTURE THEATRE 2
24,09/07/2023,23:10,EMERGENCY INCIDENTS,YIH,MULTI-PURPOSE HALL 5 & 6
25,13/02/2023,5:47,LOST AND FOUND,UTown,YALE ADMINISTRATION BLOCK
26,18/10/2022,11:01,LOST AND FOUND,CDE,ENGINEERING BLOCK A
27,08/06/2023,23:47,EMERGENCY INCIDENTS,HALL,DECOM SUB-STATION 2 (NEAR TEM HALL)
28,08/11/2022,23:37,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK A)
29,25/01/2023,17:08,DAMAGED PROPERTY,FASS,CENTRAL LIBRARY
30,05/07/2022,22:19,STOLEN ITEMS,UTown,RESIDENT COLLEGE 4 -MPH
31,16/02/2023,19:28,LOST AND FOUND,CDE,LECTURE THEATRE 3
32,06/03/2022,20:47,LOST AND FOUND,BTC,BTC-LOUNGE
33,10/06/2022,10:27,SEXUAL INCIDENTS,PGP,PGP RESIDENCES (BLOCK 6)
34,21/05/2022,17:52,LOST AND FOUND,CDE,CANTEEN 1 (TECHNO EDGE)
35,19/11/2022,4:01,LOST AND FOUND,KR,2 KR BUNGALOW
36,16/07/2022,10:22,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 6
37,30/05/2023,5:22,EMERGENCY INCIDENTS,FASS,FASS BLK7 (SHAW FDN BLDG)
38,25/05/2022,4:19,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 15
39,18/05/2022,13:50,STOLEN ITEMS,HALL,HOUSE 5 ANNEX
40,11/05/2022,23:41,LOST AND FOUND,CDE,ENGINEERING BLOCK 8
41,13/03/2022,17:49,LOST AND FOUND,FOS,SCIENCE BLOCK 9
42,04/02/2023,20:33,EMERGENCY INCIDENTS,CDE,DESIGN & ENVIRONMENT BLOCK 3
43,09/07/2023,1:01,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 30)
44,30/03/2023,5:42,DAMAGED PROPERTY,YIH,RAFFLES HALL (BLOCK C)
45,23/10/2022,21:55,DAMAGED PROPERTY,SOC,LECTURE THEATRE 16
46,25/01/2022,8:55,LOST AND FOUND,YIH,YUSOF ISHAK HOUSE
47,04/09/2022,2:24,DAMAGED PROPERTY,UTown,TEMBUSU LEARN LOBE
48,20/02/2023,5:15,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 12
49,19/05/2022,18:18,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 4
50,19/07/2023,7:27,EMERGENCY INCIDENTS,UTown,COLLEGE OF A&P TAN -TOWER
51,03/11/2022,4:49,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 9)
52,17/07/2022,7:12,DAMAGED PROPERTY,PGP,17 PGP BUNGALOW
53,19/02/2022,8:51,EMERGENCY INCIDENTS,YIH,RAFFLES HALL (COMMUNAL HALL)
54,29/07/2022,14:31,EMERGENCY INCIDENTS,UCC,NATIONAL SINGAPORE WIND TUNNEL
55,24/09/2022,21:20,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 8)
56,27/04/2022,11:29,DAMAGED PROPERTY,UCC,YSTCM CARPARK
57,01/04/2022,19:54,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 6
58,09/05/2023,21:25,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK F, 107"
59,04/09/2023,12:27,LOST AND FOUND,FOS,FOS-RICE SHED C-NEXT TO S3&S4
60,23/04/2023,6:49,EMERGENCY INCIDENTS,BIZ,BUSINESS BLOCK 2
61,25/08/2022,15:47,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK D, 113"
62,29/11/2022,5:23,LOST AND FOUND,UTown,DINING HALL (RC4 & CAPT)
63,07/10/2023,15:21,DAMAGED PROPERTY,PGP,INNOVATION 4.0
64,31/03/2022,18:28,DAMAGED PROPERTY,FOS,NUHS TOWER BLOCK
