,Unnamed: 0,Classification,Disposition,datetime
0,0,Assault,Arrest,2022-05-14 03:48:00
1,1,Harassment: Bias Incident,Open Investigation,2021-12-04 03:51:00
2,2,Theft,Open Investigation,2022-01-14 07:17:00
3,3,Harassment,Open Investigation,2022-07-20 01:28:00
4,4,Trespassing,Open Investigation,2022-05-05 22:23:00
5,5,Trespassing,Open Investigation,2022-07-30 00:28:00
6,6,Trespassing,Open Investigation,2022-08-25 17:46:00
7,7,Theft,Unfounded,2022-09-03 01:10:00
8,8,Shoplifting,Closed,2022-08-12 09:23:00
9,9,Theft,Arrest,2022-02-15 18:45:00
10,10,Service of Warrant,Arrest,2021-11-28 11:29:00
11,11,Shoplifting,Open Investigation,2022-11-25 09:16:00
12,12,Harassment, Open Investigation,2022-08-16 01:43:00
13,13,Criminal Mischief,Unfounded,2021-11-16 04:06:00
14,14,Rape,Judicial Referral,2022-05-30 03:40:00
15,15,Obstruction of Justice, Open Investigation,2022-11-17 23:22:00
16,16,Trespass,Open Investigation,2021-12-25 04:09:00
17,17,Theft,Closed,2022-11-30 00:27:00
18,18,Harassment: Domestic Violence,Closed,2022-08-11 15:35:00
19,19,Theft,Open Investigation,2022-07-05 04:59:00
20,20,Trespassing,Open Investigation,2022-06-22 20:21:00
21,21,Theft,Judicial Referral,2021-12-13 01:17:00
22,22,Trespass, Arrest,2022-03-26 01:01:00
23,23,Harassment,Open Investigation,2022-07-29 01:02:00
24,24,Burglary,Judicial Referral,2022-06-08 22:51:00
25,25,Theft,Arrest,2021-12-05 17:21:00
26,26,Fraud,Unfounded,2022-03-12 01:28:00
27,27,Theft,Open Investigation,2022-07-16 22:57:00
28,28,Theft,Open Investigation,2022-03-04 08:24:00
29,29,Fraud,Open Investigation,2021-10-09 10:55:00
30,30,Harassment: Bias Incident,Arrest,2022-11-19 05:47:00
31,31,Trespass,Open Investigation,2021-12-26 08:36:00
32,32,Burglary,Arrest,2022-09-22 19:19:00
33,33,Theft,Unfounded,2022-07-20 00:09:00
34,34,Shoplifting,Open Investigation,2022-02-05 20:47:00
35,35,Trespassing,,2021-10-05 16:56:00
36,36,Harassment,Open Investigation,2022-01-18 02:26:00
37,37,Theft,Open Investigation,2022-02-08 23:35:00
38,38,Theft,Open Investigation,2022-09-25 19:25:00
39,39,Shoplifting ,Arrest,2022-06-30 09:26:00
40,40,Trespassing,Open Investigation,2022-07-07 16:17:00
41,41,False Public Alarm,Open Investigation,2022-02-24 20:31:00
42,42,Theft,Open Investigation,2022-03-15 21:45:00
43,43,Theft,Open Investigation,2021-12-18 18:41:00
44,44,Theft,Open Investigation,2022-02-22 14:19:00
45,45,Harassment: Bias Incident,Closed,2022-10-27 18:26:00
46,46,Theft,Open Investigation,2022-08-10 11:36:00
47,47,Bias Intimidation,Open Investigation,2022-07-18 17:42:00
48,48,False Public Alarm,Open Investigation,2022-08-13 22:24:00
49,49,Trespassing,Open Investigation,2022-01-10 14:00:00
50,50,Fraud,Open Investigation,2022-01-18 11:37:00
51,51,Possession of Burglary Tools 2,Open Investigation,2022-01-18 12:30:00
52,52,Trespassing,Arrest,2022-10-04 11:48:00
53,53,Trespass,Unfounded,2022-07-10 08:35:00
54,54,Trespass,Open Investigation,2022-08-30 09:26:00
55,55,Assault,Open Investigation,2021-11-29 11:54:00
56,56,Theft,unfounded,2022-01-30 12:36:00
57,57,Shoplifting,Closed,2021-12-05 03:32:00
58,58,Trespassing,Open Investigation,2022-02-21 06:26:00
59,59,Identity Theft,Open Investigation,2022-12-03 14:59:00
60,60,Hindering Possession of Burglary Tools,Open Investigation,2022-08-14 01:44:00
61,61,Harassment: Bias Incident,Arrest,2022-09-10 01:16:00
62,62,Theft,Open Investigation,2022-07-14 10:51:00
63,63,Theft,Open Investigation,2021-12-21 01:15:00
64,64,Harassment,Open Investigation,2021-12-22 06:28:00
65,65,Theft,Open Investigation,2022-01-23 02:31:00
66,66,Harassment: Stalking,Open Investigation,2022-12-10 01:19:00
67,67,Trespassing,Open Investigation,2022-04-20 14:04:00
68,68,Theft,Arrest,2022-08-05 06:05:00
69,69,Harassment: Domestic Violence,Arrest,2022-04-29 02:37:00
70,70,Assault,Arrest,2022-02-18 22:33:00
71,71,Harassment: Bias Incident,Open Investigation,2022-07-30 14:16:00
72,72,Assault,Unfounded,2022-02-09 02:04:00
73,73,Theft,Closed,2022-07-31 12:12:00
74,74,Shoplifting,Closed,2022-01-17 01:04:00
75,75,Theft,Open Investigation,2022-06-27 07:31:00
76,76,Theft,Open Investigation,2021-12-06 16:21:00
77,77,Theft,Open Investigation,2022-01-27 12:02:00
78,78,Lewdness,Open Investigation,2021-12-03 02:25:00
79,79,False Public Alarm,Closed,2021-10-28 11:59:00
80,80,Intimidation,Closed,2022-03-05 08:14:00
81,81,Theft,Open Investigation,2022-05-14 21:32:00
82,82,Harassment,Open Investigation,2022-03-17 19:14:00
83,83,Theft, Closed,2021-12-28 23:16:00
84,84,Identity Theft,Open Investigation,2021-12-16 00:20:00
85,85,Theft,Open Investigation,2021-12-28 15:09:00
86,86,Disorderly Conduct,Arrest,2022-02-07 10:11:00
87,87,Theft,Open Investigation,2022-07-23 23:50:00
88,88,Theft,Open Investigation,2022-05-05 12:31:00
89,89,Attempted Theft,Unfounded,2022-05-28 09:28:00
90,90,Aggravated Assault,Open Investigation,2022-03-10 08:06:00
91,91,Theft,Open Investigation,2021-10-18 00:46:00
92,92,False Public Alarm,Open Investigation,2022-07-12 04:48:00
93,93,Trespass,Unfounded,2022-06-04 22:12:00
94,94,Fraud,Closed,2022-10-22 10:11:00
95,95,Intimidation,Open Investigation,2021-11-12 23:04:00
96,96,Extortion,,2022-10-02 19:38:00
97,97,Theft,Open Investigation,2022-09-13 09:20:00
98,98,Trespass,Open Investigation,2021-11-30 21:22:00
99,99,Bias Intimidation,Open Investigation,2022-10-29 01:59:00
100,100,Theft,Open Investigation,2022-01-07 14:04:00
101,101,Lewdness,Closed,2022-08-12 14:39:00
102,102,Criminal Mischief,Open Investigation,2022-02-28 14:18:00
103,103,Criminal Mischief,Open Investigation,2022-11-10 08:03:00
104,104,Rape,Arrest,2022-03-19 10:07:00
105,105,Trespassing,Open Investigation,2022-06-19 01:21:00
106,106,Theft,Open Investigation,2022-07-21 01:26:00
107,107,Assault,Judicial Referral,2021-08-21 20:18:00
108,108,Assault,Arrest,2022-02-24 15:19:00
109,109,Extortion,Arrest,2022-01-12 20:13:00
110,110,Rape,Open Investigation,2022-05-28 18:42:00
111,111,Assault, Arrest,2021-12-19 00:32:00
112,112,Harassment: Bias Incident,Closed,2022-01-23 05:43:00
113,113,Attempted Theft,Arrest,2022-02-02 04:10:00
114,114,Harassment,Open Investigation,2022-06-22 02:17:00
115,115,Trespassing,Open Investigation,2022-06-24 22:57:00
116,116,Harassment,Closed,2021-11-04 03:09:00
