,Classification,Disposition,datetime
0,Theft: Criminal Mischief,Unfounded,11/06/2022 15:15
1,Harassment: Bias Incident,Unfounded,11/10/2022 22:06
2,Fraud,Open Investigation,05/13/2023 08:41
3,Harassment,Open Investigation,09/08/2022 19:38
4,Trespass,Closed,03/12/2023 10:13
5,Theft,Open Investigation,12/22/2022 04:26
6,Theft,Open Investigation,01/05/2023 02:07
7,Theft,Open Investigation,10/04/2023 11:59
8,Trespassing,Open Investigation,10/06/2023 09:12
9,Rape,Arrest,02/25/2023 14:28
10,Theft,Open Investigation,12/08/2022 10:46
11,Harassment,Open Investigation,12/26/2022 12:25
12,Theft,Arrest,05/29/2023 13:23
13,Assault,Open Investigation,11/03/2023 16:34
14,Trespassing,Arrest,11/12/2023 22:59
15,Domestic Violence: Harassment,Open Investigation,09/17/2023 01:00
16,Shoplifting,Unfounded,12/17/2022 09:42
17,Burglary,Open Investigation,11/17/2022 11:06
18,Attempted Extortion,Unfounded,05/28/2023 09:14
19,Assault: Domestic Violence,Open Investigation,06/14/2023 23:34
20,Defiant Trespass: Aggravated Assault,Open Investigation,01/15/2023 12:27
21,Trespassing,Closed,03/03/2023 18:09
22,Shoplifting,Closed,11/29/2023 23:51
23,Theft,Unfounded,02/17/2023 23:56
24,Extortion,Unfounded,07/09/2023 10:48
25,Theft,Open Investigation,05/17/2023 23:45
26,Harassment: Bias Incident, Arrest,06/11/2023 12:43
27,False Public Alarm,Open Investigation,08/16/2023 00:08
28,Shoplifting,Open Investigation,09/18/2023 03:10
29,Trespassing,unfounded,12/25/2022 01:36
30,Disorderly Conduct,Closed,12/10/2023 17:22
31,Theft,Unfounded,09/17/2023 02:16
32,Theft,Open Investigation,03/18/2023 03:35
33,Assault,Open Investigation,12/07/2023 01:49
34,Criminal Mischief,Open Investigation,06/17/2023 16:27
35,Harassment: Bias Incident,Open Investigation,10/23/2022 23:19
36,Rape, Arrest,04/23/2023 02:19
37,Harassment: Bias Incident,Arrest,10/26/2022 02:42
38,Service of Warrant,Open Investigation,12/21/2022 03:50
39,Rape,Closed,09/04/2023 10:14
40,Theft,Open Investigation,02/26/2023 11:42
41,Criminal Mischief,Open Investigation,10/02/2022 05:19
42,Criminal Mischief,Arrest,11/14/2023 03:38
43,Intimidation,,12/08/2022 00:51
44,Obstruction of Justice,Judicial Referral,12/04/2022 16:41
45,Rape, Arrest,05/22/2023 21:30
46,Trespass,Unfounded,02/21/2023 14:23
47,Shoplifting ,Open Investigation,08/27/2023 16:20
48,Theft,Open Investigation,04/23/2023 00:07
49,Theft,Open Investigation,10/08/2023 12:24
50,Theft,Open Investigation,08/08/2023 18:03
51,Disorderly Conduct,Open Investigation,09/20/2022 18:26
