IncidentID,Open,Add,Close,Year,DayOfYear,Month,DayOfWeek,time_period,Building,Location,Latitude,Longitude,Incidents,User
1,2019-02-13 13:05:00,2.70140097523239,2019-02-16 05:55:01,2019,44,2,2,day_weekday,SRC MINI GRAND STAND,YIH,1.298645794,103.7777397,LOST AND FOUND,sec3
2,2019-03-02 13:55:00,2.45522433094953,2019-03-05 00:50:31,2019,61,3,5,weekend,PGP RESIDENCES (BLOCK 13),PGP,1.290867796,103.7802755,LOST AND FOUND,sec3
3,2019-03-18 03:05:00,2.85585494456099,2019-03-20 23:37:26,2019,77,3,0,day_weekday,PGP RESIDENCES CANTEEN 2,PGP,1.290619681,103.7816946,LOST AND FOUND,sec3
4,2018-11-16 16:42:00,2.28490381260491,2018-11-18 23:32:16,2018,320,11,4,day_weekday,"KENT VALE APARTMENT BLK G, 115",KV,1.30249388,103.7703148,LOST AND FOUND,sec4
5,2018-09-28 14:03:00,6.8582796709514,2018-10-05 10:38:55,2018,271,9,4,day_weekday,YALE FITNESS CENTER,UTown,1.307478693,103.7725849,DAMAGED PROPERTY,sec1
6,2019-11-15 04:10:00,4.00308736517579,2019-11-19 04:14:27,2019,319,11,4,day_weekday,NATIONAL SINGAPORE WIND TUNNEL,UCC,1.300768273,103.7753832,LOST AND FOUND,sec1
7,2018-10-31 00:28:00,2.48977332687723,2018-11-02 12:13:16,2018,304,10,2,day_weekday,20 EVANS BUNGALOW,BTC,1.318059047,103.8199399,LOST AND FOUND,sec2
8,2019-04-25 20:04:00,7.37156881430355,2019-05-03 04:59:04,2019,115,4,3,day_weekday,SCIENCE BLOCK 12,FOS,1.296959412,103.778681,SEXUAL INCIDENTS,sec4
9,2019-04-24 22:18:00,1.94949322115461,2019-04-26 21:05:16,2019,114,4,2,day_weekday,COMPUTING BLOCK 2,SOC,1.294225262,103.7740172,STOLEN ITEMS,sec1
10,2019-10-11 10:56:00,2.42975949987891,2019-10-13 21:14:51,2019,284,10,4,day_weekday,KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,LOST AND FOUND,sec2
