"IncidentID","Description","Priority","Incidents","Location","Building","Latitude","Longitude","User","Status","Time"
1,"LOST AND FOUND at SRC MINI GRAND STAND","Normal","LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"sec3","Open",2019-02-13 13:05:00
1,"LOST AND FOUND at SRC MINI GRAND STAND","Normal","LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"sec3","Close",2019-02-16 05:55:01
2,"LOST AND FOUND at PGP RESIDENCES (BLOCK 13)","Normal","LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 13)",1.290867796,103.7802755,"sec3","Open",2019-03-02 13:55:00
2,"LOST AND FOUND at PGP RESIDENCES (BLOCK 13)","Normal","LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 13)",1.290867796,103.7802755,"sec3","Close",2019-03-05 00:50:31
3,"LOST AND FOUND at PGP RESIDENCES CANTEEN 2","Normal","LOST AND FOUND","PGP","PGP RESIDENCES CANTEEN 2",1.290619681,103.7816946,"sec3","Open",2019-03-18 03:05:00
3,"LOST AND FOUND at PGP RESIDENCES CANTEEN 2","Normal","LOST AND FOUND","PGP","PGP RESIDENCES CANTEEN 2",1.290619681,103.7816946,"sec3","Close",2019-03-20 23:37:26
4,"LOST AND FOUND at KENT VALE APARTMENT BLK G, 115","Normal","LOST AND FOUND","KV","KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,"sec4","Open",2018-11-16 16:42:00
4,"LOST AND FOUND at KENT VALE APARTMENT BLK G, 115","Normal","LOST AND FOUND","KV","KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,"sec4","Close",2018-11-18 23:32:16
5,"DAMAGED PROPERTY at YALE FITNESS CENTER","High","DAMAGED PROPERTY","UTown","YALE FITNESS CENTER",1.307478693,103.7725849,"sec1","Open",2018-09-28 14:03:00
5,"DAMAGED PROPERTY at YALE FITNESS CENTER","High","DAMAGED PROPERTY","UTown","YALE FITNESS CENTER",1.307478693,103.7725849,"sec1","Close",2018-10-05 10:38:55
6,"LOST AND FOUND at NATIONAL SINGAPORE WIND TUNNEL","Normal","LOST AND FOUND","UCC","NATIONAL SINGAPORE WIND TUNNEL",1.300768273,103.7753832,"sec1","Open",2019-11-15 04:10:00
6,"LOST AND FOUND at NATIONAL SINGAPORE WIND TUNNEL","Normal","LOST AND FOUND","UCC","NATIONAL SINGAPORE WIND TUNNEL",1.300768273,103.7753832,"sec1","Close",2019-11-19 04:14:27
7,"LOST AND FOUND at 20 EVANS BUNGALOW","Normal","LOST AND FOUND","BTC","20 EVANS BUNGALOW",1.318059047,103.8199399,"sec2","Open",2018-10-31 00:28:00
7,"LOST AND FOUND at 20 EVANS BUNGALOW","Normal","LOST AND FOUND","BTC","20 EVANS BUNGALOW",1.318059047,103.8199399,"sec2","Close",2018-11-02 12:13:16
8,"SEXUAL INCIDENTS at SCIENCE BLOCK 12","High","SEXUAL INCIDENTS","FOS","SCIENCE BLOCK 12",1.296959412,103.778681,"sec4","Open",2019-04-25 20:04:00
8,"SEXUAL INCIDENTS at SCIENCE BLOCK 12","High","SEXUAL INCIDENTS","FOS","SCIENCE BLOCK 12",1.296959412,103.778681,"sec4","Close",2019-05-03 04:59:04
9,"STOLEN ITEMS at COMPUTING BLOCK 2","Normal","STOLEN ITEMS","SOC","COMPUTING BLOCK 2",1.294225262,103.7740172,"sec1","Open",2019-04-24 22:18:00
9,"STOLEN ITEMS at COMPUTING BLOCK 2","Normal","STOLEN ITEMS","SOC","COMPUTING BLOCK 2",1.294225262,103.7740172,"sec1","Close",2019-04-26 21:05:16
10,"LOST AND FOUND at KENT RIDGE (COMMUNAL HALL)","Normal","LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"sec2","Open",2019-10-11 10:56:00
10,"LOST AND FOUND at KENT RIDGE (COMMUNAL HALL)","Normal","LOST AND FOUND","HALL","KENT RIDGE (COMMUNAL HALL)",1.29179854,103.7747805,"sec2","Close",2019-10-13 21:14:51
11,"EMERGENCY INCIDENTS at KENT VALE APARTMENT BLK A,103","High","EMERGENCY INCIDENTS","KV","KENT VALE APARTMENT BLK A,103",1.301286274,103.7690165,"sec1","Open",2019-01-21 19:40:00
11,"EMERGENCY INCIDENTS at KENT VALE APARTMENT BLK A,103","High","EMERGENCY INCIDENTS","KV","KENT VALE APARTMENT BLK A,103",1.301286274,103.7690165,"sec1","Close",2019-01-24 02:01:11
12,"LOST AND FOUND at KENT VALE GUARDHOUSE","Normal","LOST AND FOUND","HALL","KENT VALE GUARDHOUSE",1.302213361,103.7692536,"sec3","Open",2019-05-19 05:07:00
12,"LOST AND FOUND at KENT VALE GUARDHOUSE","Normal","LOST AND FOUND","HALL","KENT VALE GUARDHOUSE",1.302213361,103.7692536,"sec3","Close",2019-05-22 16:13:54
13,"DAMAGED PROPERTY at INNOVATION 4.0","High","DAMAGED PROPERTY","PGP","INNOVATION 4.0",1.294254531,103.775948,"sec3","Open",2019-06-14 02:03:00
13,"DAMAGED PROPERTY at INNOVATION 4.0","High","DAMAGED PROPERTY","PGP","INNOVATION 4.0",1.294254531,103.775948,"sec3","Close",2019-06-20 20:08:53
14,"LOST AND FOUND at COMMUNAL BLK B","Normal","LOST AND FOUND","KV","COMMUNAL BLK B",1.302552874,103.7685982,"sec3","Open",2019-04-16 13:11:00
14,"LOST AND FOUND at COMMUNAL BLK B","Normal","LOST AND FOUND","KV","COMMUNAL BLK B",1.302552874,103.7685982,"sec3","Close",2019-04-19 11:47:20
15,"LOST AND FOUND at CINNAMON UNI SCH PROG (USP)","Normal","LOST AND FOUND","UTown","CINNAMON UNI SCH PROG (USP)",1.306525122,103.7734295,"sec3","Open",2019-01-04 05:29:00
15,"LOST AND FOUND at CINNAMON UNI SCH PROG (USP)","Normal","LOST AND FOUND","UTown","CINNAMON UNI SCH PROG (USP)",1.306525122,103.7734295,"sec3","Close",2019-01-07 01:10:04
16,"DAMAGED PROPERTY at CTR FOR ENGLISH LANGUAGE COMMUNICATION","High","DAMAGED PROPERTY","CDE","CTR FOR ENGLISH LANGUAGE COMMUNICATION",1.297113412,103.7714078,"sec2","Open",2019-01-17 21:32:00
16,"DAMAGED PROPERTY at CTR FOR ENGLISH LANGUAGE COMMUNICATION","High","DAMAGED PROPERTY","CDE","CTR FOR ENGLISH LANGUAGE COMMUNICATION",1.297113412,103.7714078,"sec2","Close",2019-01-25 02:40:22
17,"LOST AND FOUND at TECH CTR FOR OFFSHORE & MARINE","Normal","LOST AND FOUND","PGP","TECH CTR FOR OFFSHORE & MARINE",1.293515294,103.7769167,"sec3","Open",2019-01-16 05:41:00
17,"LOST AND FOUND at TECH CTR FOR OFFSHORE & MARINE","Normal","LOST AND FOUND","PGP","TECH CTR FOR OFFSHORE & MARINE",1.293515294,103.7769167,"sec3","Close",2019-01-18 14:54:17
18,"SEXUAL INCIDENTS at BTC-MANASSEH MEYER","High","SEXUAL INCIDENTS","BTC","BTC-MANASSEH MEYER",1.319098649,103.8176172,"sec2","Open",2019-04-04 19:25:00
18,"SEXUAL INCIDENTS at BTC-MANASSEH MEYER","High","SEXUAL INCIDENTS","BTC","BTC-MANASSEH MEYER",1.319098649,103.8176172,"sec2","Close",2019-04-11 03:08:36
19,"LOST AND FOUND at SRC MINI GRAND STAND","Normal","LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"sec1","Open",2018-11-01 14:49:00
19,"LOST AND FOUND at SRC MINI GRAND STAND","Normal","LOST AND FOUND","YIH","SRC MINI GRAND STAND",1.298645794,103.7777397,"sec1","Close",2018-11-04 17:36:08
20,"STOLEN ITEMS at 1 KR BUNGALOW","Normal","STOLEN ITEMS","KR","1 KR BUNGALOW",1.293041343,103.7811579,"sec4","Open",2018-10-15 06:22:00
20,"STOLEN ITEMS at 1 KR BUNGALOW","Normal","STOLEN ITEMS","KR","1 KR BUNGALOW",1.293041343,103.7811579,"sec4","Close",2018-10-16 19:41:13
21,"STOLEN ITEMS at COMMUNAL BLK A, 121","Normal","STOLEN ITEMS","KV","COMMUNAL BLK A, 121",1.302400027,103.7689415,"sec3","Open",2019-06-26 16:22:00
21,"STOLEN ITEMS at COMMUNAL BLK A, 121","Normal","STOLEN ITEMS","KV","COMMUNAL BLK A, 121",1.302400027,103.7689415,"sec3","Close",2019-06-29 19:50:22
22,"LOST AND FOUND at ENGINEERING BLOCK 2","Normal","LOST AND FOUND","CDE","ENGINEERING BLOCK 2",1.299314011,103.7711967,"sec2","Open",2019-02-25 08:26:00
22,"LOST AND FOUND at ENGINEERING BLOCK 2","Normal","LOST AND FOUND","CDE","ENGINEERING BLOCK 2",1.299314011,103.7711967,"sec2","Close",2019-02-28 04:21:59
23,"LOST AND FOUND at TEMASEK HALL (COMMUNAL HALL)","Normal","LOST AND FOUND","HALL","TEMASEK HALL (COMMUNAL HALL)",1.292822129,103.7714113,"sec2","Open",2018-09-03 08:20:00
23,"LOST AND FOUND at TEMASEK HALL (COMMUNAL HALL)","Normal","LOST AND FOUND","HALL","TEMASEK HALL (COMMUNAL HALL)",1.292822129,103.7714113,"sec2","Close",2018-09-06 21:48:26
24,"EMERGENCY INCIDENTS at BOOSTER PUMP HSE(NEXT LKCNHM)","High","EMERGENCY INCIDENTS","UCC","BOOSTER PUMP HSE(NEXT LKCNHM)",1.301382961,103.7733115,"sec3","Open",2018-11-12 12:38:00
24,"EMERGENCY INCIDENTS at BOOSTER PUMP HSE(NEXT LKCNHM)","High","EMERGENCY INCIDENTS","UCC","BOOSTER PUMP HSE(NEXT LKCNHM)",1.301382961,103.7733115,"sec3","Close",2018-11-13 10:53:05
25,"DAMAGED PROPERTY at YALE EAST CORE","High","DAMAGED PROPERTY","UTown","YALE EAST CORE",1.305538246,103.7720734,"sec4","Open",2019-01-28 07:27:00
25,"DAMAGED PROPERTY at YALE EAST CORE","High","DAMAGED PROPERTY","UTown","YALE EAST CORE",1.305538246,103.7720734,"sec4","Close",2019-02-07 01:41:35
26,"LOST AND FOUND at YUSOF ISHAK HOUSE","Normal","LOST AND FOUND","YIH","YUSOF ISHAK HOUSE",1.29851672,103.7749707,"sec2","Open",2019-04-29 21:47:00
26,"LOST AND FOUND at YUSOF ISHAK HOUSE","Normal","LOST AND FOUND","YIH","YUSOF ISHAK HOUSE",1.29851672,103.7749707,"sec2","Close",2019-05-02 04:16:30
27,"LOST AND FOUND at KE VII HALL (BLOCK F)","Normal","LOST AND FOUND","PGP","KE VII HALL (BLOCK F)",1.293186194,103.7808347,"sec3","Open",2019-10-08 14:23:00
27,"LOST AND FOUND at KE VII HALL (BLOCK F)","Normal","LOST AND FOUND","PGP","KE VII HALL (BLOCK F)",1.293186194,103.7808347,"sec3","Close",2019-10-11 21:06:50
28,"LOST AND FOUND at PGP RESIDENCES (BLOCK 25)","Normal","LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 25)",1.290200342,103.7806037,"sec3","Open",2019-03-14 18:55:00
28,"LOST AND FOUND at PGP RESIDENCES (BLOCK 25)","Normal","LOST AND FOUND","PGP","PGP RESIDENCES (BLOCK 25)",1.290200342,103.7806037,"sec3","Close",2019-03-18 18:08:41
29,"STOLEN ITEMS at PGP RESIDENCES (BLOCK 16)","Normal","STOLEN ITEMS","PGP","PGP RESIDENCES (BLOCK 16)",1.291523732,103.7801396,"sec3","Open",2019-10-10 18:01:00
29,"STOLEN ITEMS at PGP RESIDENCES (BLOCK 16)","Normal","STOLEN ITEMS","PGP","PGP RESIDENCES (BLOCK 16)",1.291523732,103.7801396,"sec3","Close",2019-10-12 04:25:37
