IncidentID,Description,Priority,Incidents,Location,Building,Latitude,Longitude,User,Status,Time
1,lost and found at src mini grand stand,Normal,LOST AND FOUND,YIH,SRC MINI GRAND STAND,1.298645794,103.7777397,sec3,Open,13/2/19 13:05
1,lost and found at src mini grand stand,Normal,LOST AND FOUND,YIH,SRC MINI GRAND STAND,1.298645794,103.7777397,sec3,Close,16/2/19 5:55
2,lost and found at pgp residences (block 13),Normal,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 13),1.290867796,103.7802755,sec3,Open,2/3/19 13:55
2,lost and found at pgp residences (block 13),Normal,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 13),1.290867796,103.7802755,sec3,Close,5/3/19 0:50
3,lost and found at pgp residences canteen 2,Normal,LOST AND FOUND,PGP,PGP RESIDENCES CANTEEN 2,1.290619681,103.7816946,sec3,Open,18/3/19 3:05
3,lost and found at pgp residences canteen 2,Normal,LOST AND FOUND,PGP,PGP RESIDENCES CANTEEN 2,1.290619681,103.7816946,sec3,Close,20/3/19 23:37
4,"lost and found at kent vale apartment blk g, 115",Normal,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,sec4,Open,16/11/18 16:42
4,"lost and found at kent vale apartment blk g, 115",Normal,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK G, 115",1.30249388,103.7703148,sec4,Close,18/11/18 23:32
5,damaged property at yale fitness center,High,DAMAGED PROPERTY,UTown,YALE FITNESS CENTER,1.307478693,103.7725849,sec1,Open,28/9/18 14:03
5,damaged property at yale fitness center,High,DAMAGED PROPERTY,UTown,YALE FITNESS CENTER,1.307478693,103.7725849,sec1,Close,5/10/18 10:38
6,lost and found at national singapore wind tunnel,Normal,LOST AND FOUND,UCC,NATIONAL SINGAPORE WIND TUNNEL,1.300768273,103.7753832,sec1,Open,15/11/19 4:10
