Buildings,Location,Latitude,Longitude,Residence
10 KR BUNGALOW,KR,1.294410986,103.7785023,TRUE
11 KR BUNGALOW,KR,1.293319335,103.7736605,TRUE
12A KR BUNGALOW,KR,1.29723462,103.7747589,TRUE
12 KR BUNGALOW,KR,1.297234098,103.77391,TRUE
14A PGP BUNGALOW,PGP,1.293265034,103.7774589,TRUE
14 KR BUNGALOW,KR,1.297439351,103.7744566,TRUE
14 PGP BUNGALOW,PGP,1.293234255,103.777491,TRUE
16 EVANS BUNGALOW,BTC,1.317643511,103.8196586,TRUE
17 PGP BUNGALOW,PGP,1.292575481,103.7792351,TRUE
18A PGP BUNGALOW,PGP,1.292325199,103.7795281,TRUE
18 EVANS BUNGALOW,BTC,1.317911647,103.8197614,TRUE
18 PGP BUNGALOW,PGP,1.292335925,103.7795173,TRUE
1 KR BUNGALOW,KR,1.293041343,103.7811579,TRUE
20 EVANS BUNGALOW,BTC,1.318059047,103.8199399,TRUE
2 KR BUNGALOW,KR,1.293895125,103.7802656,TRUE
2 PGP BUNGALOW,PGP,1.292422999,103.7799725,TRUE
3 KR BUNGALOW,KR,1.294139769,103.7801066,TRUE
3 PGP BUNGALOW,PGP,1.292651799,103.7797184,TRUE
4 KR BUNGALOW,KR,1.294413343,103.7799701,TRUE
4 PGP BUNGALOW,PGP,1.292756725,103.7793448,TRUE
5 KR BUNGALOW,KR,1.294572999,103.7796455,TRUE
5 PGP BUNGALOW,PGP,1.293103799,103.7786261,TRUE
6 KR BUNGALOW,KR,1.294604043,103.7789697,TRUE
6 PGP BUNGALOW,PGP,1.293385625,103.7779056,TRUE
7 PGP BUNGALOW,PGP,1.293238399,103.7780367,TRUE
8 PGP BUNGALOW,PGP,1.293596473,103.7775181,TRUE
9 KR BUNGALOW,KR,1.294339477,103.7782597,TRUE
9 PGP BUNGALOW,PGP,1.293962325,103.7773228,TRUE
ALICE LEE PLAZA,UCC,1.301676507,103.7722053,FALSE
ARTS & SOCIAL SCIENCES BLOCK 1,FASS,1.29414275,103.7711509,FALSE
ARTS & SOCIAL SCIENCES BLOCK 2,FASS,1.294517061,103.7711126,FALSE
ARTS & SOCIAL SCIENCES BLOCK 3,FASS,1.294677158,103.7713133,FALSE
ARTS & SOCIAL SCIENCES BLOCK 4,FASS,1.294575688,103.7717937,FALSE
ARTS & SOCIAL SCIENCES BLOCK 5,FASS,1.294230691,103.7718952,FALSE
ARTS & SOCIAL SCIENCES BLOCK 6,FASS,1.295434799,103.773244,FALSE
FASS BLK7 (SHAW FDN BLDG),FASS,1.293258477,103.7733817,FALSE
ARTS & SOCIAL SCIENCES BLOCK 8,FASS,1.294061185,103.7720122,FALSE
TAN CHENG LOCK BABA HSE MUSEUM,DNMS,1.277214325,103.8373254,FALSE
BTC-BLOCK B,BTC,1.319007737,103.8169549,FALSE
BRENNER CTR FOR MOLECULAR MED,FOS,1.294813169,103.7806383,FALSE
BTC-BIN CENTRE,BTC,1.319801578,103.8176313,FALSE
BUSINESS BLOCK 1-MOCHTAR RIADY,BIZ,1.292482077,103.7740684,FALSE
BUSINESS BLOCK 2,BIZ,1.293351176,103.7750483,FALSE
NUS ENTERPRISE-JTC BLK71,BIZ,1.292392337,103.7757231,FALSE
BOOSTER PUMP HSE(NEXT LKCNHM),UCC,1.301382961,103.7733115,FALSE
BTC-CAFE,BTC,1.319623502,103.8174052,FALSE
CANTEEN 1 (TECHNO EDGE),CDE,1.297995633,103.7717593,FALSE
CANTEEN 4 (FRONTIER),FOS,1.296414273,103.7803745,FALSE
INFORMATION TECHNOLOGY,CDE,1.29755262,103.7725433,FALSE
CTR FOR ENGLISH LANGUAGE COMMUNICATION,CDE,1.297113412,103.7714078,FALSE
CTR FOR LIFE SCIENCES,FOS,1.294495673,103.7809137,FALSE
CTR FOR THE ARTS,YIH,1.29917139,103.7737631,FALSE
RAFFLES HALL (COMMUNAL HALL),YIH,1.300002869,103.7739354,TRUE
KE VII HALL (COMMUNAL HALL),PGP,1.292402899,103.7810646,TRUE
TEMASEK HALL (COMMUNAL HALL),HALL,1.292822129,103.7714113,TRUE
EUSOFF HALL (COMMUNAL HALL),HALL,1.293724685,103.7702582,TRUE
CENTRAL LIBRARY,FASS,1.296375466,103.7730045,FALSE
COMPUTING BLOCK 1,SOC,1.294771346,103.773839,FALSE
COMPUTING BLOCK 2,SOC,1.294225262,103.7740172,FALSE
COMPUTING BLOCK 3,SOC,1.294839606,103.77459,FALSE
AS8 CARPARK,FASS,1.295895333,103.7720224,FALSE
BIZ1 CARPARK,BIZ,1.292703782,103.7746058,FALSE
CELS CARPARK,FOS,1.294475238,103.7812,FALSE
CREATE CARPARK,UTown,1.303909748,103.7733772,FALSE
DNMS CARPARK,DNMS,1.281499226,103.8334517,FALSE
DSO CARPARK,FOS,1.295951413,103.7815192,FALSE
E6 CARPARK,CDE,1.299504478,103.7728039,FALSE
ISS CARPARK,SOC,1.291998285,103.7766803,FALSE
MD11 CARPARK,FOS,1.295712272,103.781982,FALSE
PGPR CARPARK,PGP,1.290814479,103.7812394,FALSE
SRC CARPARK,UTown,1.30067788,103.7756312,FALSE
T-LAB CARPARK,CDE,1.299936148,103.7722517,FALSE
TLL CARPARK,CDE,1.29940048,103.7721367,FALSE
UHALL CARPARK,UTown,1.297316736,103.7777968,TRUE
YSTCM CARPARK,UCC,1.302406233,103.7720861,FALSE
CRISP (NEAR KEVII HALL),PGP,1.297892325,103.7806502,TRUE
CENTRAL STORAGE LIBRARY ANNEX,FASS,1.296929332,103.7738774,FALSE
DUKE-NUS MEDSH-KHOOTECKPUAT BG,FOS,1.293420222,103.7828813,FALSE
DSO BUILDING,FOS,1.296243699,103.7813743,FALSE
ENGINEERING BLOCK A,CDE,1.299995494,103.7707659,FALSE
ENGINEERING AUDITORIUM,CDE,1.300558705,103.7707907,FALSE
ENGINEERING BLOCK 1,CDE,1.298761566,103.7710794,FALSE
ENGINEERING BLOCK 1A,CDE,1.29933656,103.77082,FALSE
ENGINEERING BLOCK 2,CDE,1.299314011,103.7711967,FALSE
ENGINEERING BLOCK 2A (EDIC),CDE,1.29880703,103.7713411,FALSE
ENGINEERING BLOCK 3,CDE,1.29943352,103.7717177,FALSE
ENGINEERING BLOCK 3A,CDE,1.300324497,103.7714214,FALSE
ENGINEERING BLOCK 4,CDE,1.298397303,103.7723018,FALSE
ENGINEERING BLOCK 4A,CDE,1.29859899,103.7725782,FALSE
ENGINEERING BLOCK 5,CDE,1.298084101,103.7724236,FALSE
ENGINEERING BLOCK 6,CDE,1.299181543,103.7730982,FALSE
ENGINEERING BLOCK 7,CDE,1.298590159,103.7734899,FALSE
ENGINEERING BLOCK 8,CDE,1.299003113,103.7726879,FALSE
EL SERVICE RESERVOIRS 1&2,CDE,1.299643981,103.7721483,FALSE
BTC-EU TONG SEN,BTC,1.318461229,103.8168299,FALSE
ENGINEERING WORKSHOP 1,CDE,1.298988688,103.7705945,FALSE
ENGINEERING WORKSHOP 1A,CDE,1.298073579,103.7708804,FALSE
EXPERIMENTAL HOUSE,CDE,1.29903925,103.7718573,FALSE
NUS STAFF CLUB,YIH,1.299177323,103.7758619,FALSE
BTC-FEDERAL,BTC,1.318374465,103.8173933,FALSE
NUS SOCIETY-GUILD HOUSE,BIZ,1.293333299,103.7730449,FALSE
RIDGE VIEW RESIDENCE (BLOCK A),YIH,1.297474982,103.776628,TRUE
RIDGE VIEW RESIDENCE (BLOCK B),YIH,1.297702725,103.7763235,TRUE
RIDGE VIEW RESIDENCE (BLOCK C),YIH,1.298081545,103.776434,TRUE
RIDGE VIEW RESIDENCE (BLOCK D),YIH,1.297921449,103.7758882,TRUE
RIDGE VIEW RESIDENCE (BLOCK E),YIH,1.298622717,103.7762558,TRUE
RIDGE VIEW RESIDENCE (BLOCK G),YIH,1.298435562,103.7757528,TRUE
RAFFLES HALL (BLOCK A),YIH,1.299677886,103.7732472,TRUE
RAFFLES HALL (BLOCK B),YIH,1.300180358,103.7734463,TRUE
RAFFLES HALL (EXTENSION TO BLOCK B &D),YIH,1.300508386,103.7731637,TRUE
RAFFLES HALL (BLOCK C),YIH,1.299882667,103.7729532,TRUE
RAFFLES HALL (BLOCK D),YIH,1.300301709,103.7726668,TRUE
RAFFLES HALL (BLOCK E),YIH,1.300036252,103.7737858,TRUE
KE VII HALL (BLOCK A),PGP,1.292733372,103.7806752,TRUE
KE VII HALL (BLOCK B),PGP,1.293176628,103.7803068,TRUE
KE VII HALL (BLOCK C),PGP,1.2930985,103.7806927,TRUE
KE VII HALL (BLOCK D),PGP,1.293315344,103.7803833,TRUE
KE VII HALL (BLOCK E),PGP,1.29305545,103.7807199,TRUE
KE VII HALL (BLOCK F),PGP,1.293186194,103.7808347,TRUE
KE VII HALL (BLOCK G),PGP,1.293482761,103.7803849,TRUE
KE VII HALL (BLOCK H),PGP,1.293037911,103.7801553,TRUE
TEMASEK HALL (BLOCK A),HALL,1.293083063,103.7707861,TRUE
TEMASEK HALL (BLOCK B),HALL,1.292689235,103.7705357,TRUE
TEMASEK HALL (BLOCK C),HALL,1.292732285,103.7709504,TRUE
TEMASEK HALL (BLOCK D),HALL,1.292631835,103.7717399,TRUE
TEMASEK HALL (BLOCK E),HALL,1.292584001,103.7722725,TRUE
EUSOFF HALL (BLOCK A),HALL,1.292924156,103.7702426,TRUE
EUSOFF HALL (BLOCK B),HALL,1.293104328,103.769989,TRUE
EUSOFF HALL (BLOCK C),HALL,1.293426406,103.7701612,TRUE
EUSOFF HALL (BLOCK D),HALL,1.293493373,103.7697466,TRUE
EUSOFF HALL (BLOCK E),HALL,1.29377559,103.7699778,TRUE
RIDGE VIEW TOWER BLK (RVF),YIH,1.29791619,103.7768684,FALSE
KUOK FOUNDATION HOUSE,YIH,1.300350998,103.7736453,FALSE
HENG MUI KENG TERRACE BLOCK B,HMKT,1.291292663,103.7765759,FALSE
HOUSE 5,HALL,1.291805315,103.7746999,FALSE
HOUSE 5 ANNEX,HALL,1.291945118,103.77433,FALSE
HON SUI SEN MEMORIAL LIBRARY,BIZ,1.293089851,103.7745597,FALSE
I3,SOC,1.292406056,103.7755806,FALSE
INNOVATION 4.0,PGP,1.294254531,103.775948,FALSE
INSTITUTE OF SYSTEMS SCIENCE,HALL,1.292195263,103.7766918,FALSE
KENT RIDGE (COMMUNAL HALL),HALL,1.29179854,103.7747805,TRUE
KENT RIDGE HALL (BLOCK A),HALL,1.29166438,103.7749714,TRUE
KENT RIDGE HALL (BLOCK B),HALL,1.291333703,103.7747351,TRUE
KENT RIDGE HALL (BLOCK C),HALL,1.291532109,103.7746841,TRUE
KENT RIDGE HALL (BLOCK D),HALL,1.291524551,103.7744384,TRUE
KENT RIDGE HALL (BLOCK E),HALL,1.291836332,103.7742191,TRUE
SHEARS HALL/KENT RIDGE HALL SHARED SPACE,HALL,1.291624699,103.7751793,TRUE
KENT VALE GUARDHOUSE,HALL,1.302213361,103.7692536,FALSE
"KENT VALE APARTMENT BLK A,103",KV,1.301286274,103.7690165,TRUE
"KENT VALE APARTMENT BLK B, 105",KV,1.301085285,103.7684438,TRUE
"KENT VALE APARTMENT BLK C, 111",KV,1.301811498,103.7685007,TRUE
"KENT VALE APARTMENT BLK D, 113",KV,1.302189396,103.7678817,TRUE
"KENT VALE APARTMENT BLK E, 109",KV,1.301741912,103.7678456,TRUE
"KENT VALE APARTMENT BLK F, 107",KV,1.30219698,103.767326,TRUE
"KENT VALE APT GERANIUM BLK, 101",KV,1.302632395,103.7695178,FALSE
KENT VALE CHILD CARE CENTRE,KV,1.301492828,103.7689924,FALSE
COMMUNAL BLK B,KV,1.302552874,103.7685982,FALSE
"COMMUNAL BLK A, 121",KV,1.302400027,103.7689415,FALSE
"KENT VALE APARTMENT BLK G, 115",KV,1.30249388,103.7703148,TRUE
"KENT VALE APARTMENT BLK H, 117",KV,1.302198914,103.7700332,TRUE
"KENT VALE APARTMENT BLK I, 119",KV,1.302981916,103.7702236,TRUE
SUB-STATION/BIN CENTRE,KV,1.300662404,103.7678257,FALSE
BTC-CJ KOH LIBRARY,BTC,1.318788486,103.8181587,FALSE
BTC-LI KA SHING BUILDING,BTC,1.319621613,103.8175738,FALSE
BTC-LECTURE THEATRE,BTC,1.319337501,103.8169942,FALSE
LECTURE THEATRE 1,CDE,1.299442762,103.7711115,FALSE
LECTURE THEATRE 10,FASS,1.294925923,103.7721036,FALSE
LECTURE THEATRE 11,FASS,1.295440209,103.7714032,FALSE
LECTURE THEATRE 12,FASS,1.294972395,103.7711398,FALSE
LECTURE THEATRE 13,FASS,1.295043651,103.7709322,FALSE
LECTURE THEATRE 14,SOC,1.295737627,103.7733865,FALSE
LECTURE THEATRE 15,SOC,1.295514563,103.7734516,FALSE
LECTURE THEATRE 16,SOC,1.293996491,103.7738421,FALSE
LECTURE THEATRE 17,SOC,1.293649503,103.7739846,FALSE
LECTURE THEATRE 18,SOC,1.293522481,103.7745083,FALSE
LECTURE THEATRE 19,SOC,1.293714563,103.7744495,FALSE
LECTURE THEATRE 2,CDE,1.299399852,103.7711799,FALSE
LECTURE THEATRE 20,FOS,1.295645806,103.778847,FALSE
LECTURE THEATRE 21,FOS,1.295355618,103.7794499,FALSE
LECTURE THEATRE 26,FOS,1.296796994,103.781201,FALSE
LT 27 (LIM SENG TJOE LECTURE),FOS,1.296962816,103.7810192,FALSE
LECTURE THEATRE 28,FOS,1.297224305,103.7812648,FALSE
LECTURE THEATRE 29,FOS,1.297224305,103.7811308,FALSE
LECTURE THEATRE 3,CDE,1.298718002,103.7723639,FALSE
LECTURE THEATRE 31,FOS,1.296845972,103.7804072,FALSE
LECTURE THEATRE 32,FOS,1.296130118,103.778317,FALSE
LECTURE THEATRE 33,FOS,1.29776785,103.7808098,FALSE
LECTURE THEATRE 34,FOS,1.297758283,103.7810123,FALSE
LECTURE THEATRE 35 (PETER AND MARY FU),FOS,1.29530784,103.7814362,FALSE
LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS,1.295172313,103.7814043,FALSE
LECTURE THEATRE 37,FOS,1.295529468,103.7802815,FALSE
LECTURE THEATRE 4,CDE,1.298758277,103.7724662,FALSE
LECTURE THEATRE 6,CDE,1.298683923,103.7718929,FALSE
LECTURE THEATRE 7,CDE,1.300171011,103.7710686,FALSE
LECTURE THEATRE 7A,CDE,1.300437448,103.7708888,FALSE
LECTURE THEATRE 8,FASS,1.294142102,103.7718061,FALSE
LECTURE THEATRE 9,FASS,1.294966198,103.7722988,FALSE
BTC-MOOT COURT,BTC,1.318755191,103.8164184,FALSE
MD BLK 1  (TAHIR FDN BLDG),FOS,1.295504947,103.7804244,FALSE
MEDICINE BLOCK 10,FOS,1.296461007,103.7817485,FALSE
MEDICINE BLOCK 11,FOS,1.296663946,103.7813741,FALSE
MEDICINE BLOCK 2,FOS,1.295071999,103.7815094,FALSE
MEDICINE BLOCK 3,FOS,1.295392192,103.7814643,FALSE
MEDICINE BLOCK 4,FOS,1.295482387,103.7811936,FALSE
MD BLK 6 (CTR FOR TRANS  MED),FOS,1.295320036,103.7816808,FALSE
MEDICINE BLOCK 7,FOS,1.295550034,103.7817394,FALSE
MEDICINE BLOCK 9,FOS,1.296451987,103.7810899,FALSE
BTC-MANASSEH MEYER,BTC,1.319098649,103.8176172,FALSE
BTC- MULTIPURPOSE AUDITORIUM,BTC,1.319039869,103.8166651,FALSE
MULTI-PURPOSE HALL 1 - 4,YIH,1.300600712,103.7757473,TRUE
MEDICINE + SCIENCE LIBRARY,FOS,1.296996168,103.7813784,FALSE
LKC NATURAL HISTORY MUSEUM,UCC,1.301379227,103.7730057,FALSE
NATIONAL SINGAPORE WIND TUNNEL,UCC,1.300768273,103.7753832,FALSE
NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS,1.2959965,103.7832118,FALSE
NUHS-MAIN BUILDING,FOS,1.294399964,103.7835039,FALSE
NUHS TOWER BLOCK,FOS,1.292211477,103.7836035,FALSE
DATA-CENTRE-NUS HIGH SCHOOL,SOC,1.296769604,103.7802964,FALSE
BTC-OEI TIONG HAM,BTC,1.319309565,103.8180432,FALSE
PGP RESIDENCES (BLOCK 1),PGP,1.291477493,103.7828939,TRUE
PGP RESIDENCES (BLOCK 10),PGP,1.290733171,103.7799493,TRUE
PGP RESIDENCES (BLOCK 11),PGP,1.290736963,103.7800896,TRUE
PGP RESIDENCES (BLOCK 12),PGP,1.290852627,103.780192,TRUE
PGP RESIDENCES (BLOCK 13),PGP,1.290867796,103.7802755,TRUE
PGP RESIDENCES (BLOCK 14),PGP,1.291885671,103.7801364,TRUE
PGP RESIDENCES (BLOCK 15),PGP,1.291668827,103.7801396,TRUE
PGP RESIDENCES (BLOCK 16),PGP,1.291523732,103.7801396,TRUE
