Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Theft,22-1858-OF,10/28/2022,7:07,10/18/2022 15:00,10/18/2022 15:00,10/19/2022 04:50,Guyot Hall,Unfounded
Fraud,22-1859-OF,10/28/2022,12:13,10/12/22 15:30,12/10/2022 15:30,10/28/2022 12:13,Class of 1903 Hall,Open Investigation
Harassment,22-1860-OF,10/28/2022,11:29,10/27/2022 14:40,10/27/2022 14:40,10/27/2022 14:40,Parking Lot 23,Open Investigation
Theft,22-1862-OF,10/28/2022,16:06,10/28/2022 12:00,10/28/2022 12:00,10/28/2022 13:30,Jadwin Hall,Unfounded
Criminal Mischief,22-1876-OF,10/29/2022,7:29,10/28/2022 13:00,10/28/2022 13:00,10/29/2022 06:30,Pyne Hall,Open Investigation
Criminal Mischief,22-1877-OF,10/29/2022,11:26,10/28/2022 15:30,10/28/2022 15:30,10/29/2022 11:25,Forbes Annex,Open Investigation
Theft,22-1883-OF,10/29/2022,16:28,10/29/2022 13:00,10/29/2022 13:00,10/29/2022 16:00,Princeton Stadium,Open Investigation
Criminal Mischief,22-1920-OF,10/31/2022,16:07,10/26/2022 19:10,10/26/2022 19:10,10/26/2022 20:37,Fine Hall,Open Investigation
Assault,22-1926-OF,10/31/2022,22:49,10/31/2022 21:30,10/31/2022 21:30,10/31/2022 21:30,Frist Campus Center,Open Investigation
Shoplifting,22-1928-OF,11/1/22,9:34,11/1/22 9:16,1/11/2022 9:16,11/1/22 9:30,University Store,Open Investigation
Fraud,22-1929-OF,11/1/22,16:21,10/31/2022 21:08,10/31/2022 21:08,10/31/2022 23:00,Thomas Laboratory,Open Investigation
Attempted Fraud,22-1940-OF,11/2/22,16:07,10/31/2022 21:07,10/31/2022 21:07,10/31/2022 21:07,McCosh Infirmary,Open Investigation
Theft,22-1943-OF,11/2/22,17:50,11/2/22 12:00,2/11/2022 12:00,11/2/22 17:00,Buyers Hall,Open Investigation
Theft,22-1946-OF,11/3/22,9:29,11/2/22 21:00,2/11/2022 21:00,11/2/22 22:30,Bloomberg Hall,Open Investigation
Theft,22-1948-OF,11/3/22,12:26,10/28/2022 08:30,10/28/2022 08:30,10/31/2022 17:00,McCosh Infirmary,Open Investigation
Theft,22-1951-OF,11/4/22,0:29,11/3/22 0:01,3/11/2022 0:01,11/3/22 7:00,Henry Hall ,Open Investigation
Theft: Criminal Mischief,22-1962-OF,11/5/22,9:41,11/2/22 20:30,2/11/2022 20:30,11/5/22 9:15,Lawrence Apartments,Open Investigation
Attempted Extortion,22-1967-OF,11/5/22,16:34,11/5/22 11:30,5/11/2022 11:30,11/5/22 11:30,Elm Drive,Open Investigation
Criminal Mischief,22-1972-OF,11/5/22,21:46,11/5/22 21:46,5/11/2022 21:46,11/5/22 21:46,Brown Hall,Open Investigation
Theft,22-1981-OF,11/7/22,13:18,11/4/22 15:00,4/11/2022 15:00,11/6/22 20:00,Little Hall,Open Investigation
Theft,22-1982-OF,11/7/22,13:20,11/1/22 19:00,1/11/2022 19:00,11/7/22 13:20,Firestone Library,Open Investigation
Theft: Criminal Mischief,22-1985-OF,11/7/22,18:03,10/30/2022 01:00,10/30/2022 01:00,11/5/22 13:00,Lawrence Apartments,Open Investigation
Criminal Mischief,22-1991-OF,11/8/22,5:56,11/8/22 5:56,8/11/2022 5:56,11/8/22 5:56,Architecture Building,Open Investigation
Trespassing,22-1992-OF,11/8/22,9:51,11/8/22 9:30,8/11/2022 9:30,11/8/22 9:30,Henry Hall,Open Investigation
Theft,22-2000-OF,11/9/22,14:31,11/6/22 12:15,6/11/2022 12:15,11/6/22 14:30,Shea Rowing Center,Open Investigation
Harassment,22-2003-OF,11/10/22,2:40,11/10/22 2:35,10/11/2022 2:35,11/10/22 2:53,Walker Hall,Open Investigation
Criminal Mischief,22-2004-OF,11/10/22,8:57,11/10/22 0:22,10/11/2022 0:22,11/10/22 8:52,Wawa ,Open Investigation
Criminal Mischief,22-2005-OF,11/10/22,9:10,11/9/22 14:00,9/11/2022 14:00,11/10/22 10:30,Fu Hall ,Open Investigation
Criminal Mischief,22-2017-OF,11/11/22,2:15,11/11/22 2:15,11/11/2022 2:15,11/11/22 2:15,Scudders Plaza,Open Investigation
Shoplifting,22-51-AR,11/11/22,8:48,11/11/22 10:02,11/11/2022 10:02,11/11/22 10:02,University Store ,Arrest
Harassment,22-2021-OF,11/11/22,14:10,11/2/22 12:00,2/11/2022 12:00,11/2/22 12:10,Center for Jewish Life,Open Investigation
Theft: Criminal Mischief,22-2032-OF,11/12/22,11:25,11/11/22 20:51,11/11/2022 20:51,11/12/22 7:40,Holder Hall,Open Investigation
Theft,22-2036-OF,11/13/2022,21:37,11/12/22 21:40,12/11/2022 21:40,11/13/2022 00:10,Old Graduate College,Open Investigation
Harassment,22-2043-OF,11/14/2022,18:41,11/14/2022 18:30,11/14/2022 18:30,11/14/2022 19:30,Yeh College Open ,Open Investigation
Harassment,22-2047-OF,11/15/2022,9:41,02/20/2020 11:30,02/20/2020 11:30,11/15/2022 08:43,Neuro Psychology Building,Open Investigation
Shoplifting,22-2048-OF,11/15/2022,10:55,11/1/22 20:52,1/11/2022 20:52,11/12/22 17:55,University Store Open In,Open Investigation
Shoplifting,22-2049-OF,11/15/2022,10:36,11/14/2022 09:17,11/14/2022 09:17,11/14/2022 09:17,University Store Open In,Open Investigation
Stalking,22-2059-OF,11/16/2022,15:18,9/8/22 0:01,9/8/2022 0:01,11/2/22 23:59,Main Campus ,Closed
Harassment,22-2061-OF,11/16/2022,22:11,11/16/2022 19:45,11/16/2022 19:45,11/16/2022 19:46,Center for Jewish Life,Open Investigation
Harassment,22-2066-OF,11/17/2022,10:51,2/2/22 8:00,2/2/2022 8:00,10/23/2022 08:00,West Windsor Fields,Open Investigation
Theft,22-2068-OF,11/17/2022,20:31,11/17/2022 12:41,11/17/2022 12:41,11/17/2022 18:55,New Grad College ,Open Investigation
Theft: Bias Incident,22-2074-OF,11/18/2022,11:10,11/17/2022 12:50,11/17/2022 12:50,11/17/2022 23:57,Pyne Hall,Open Investigation
Rape,22-2076-OF,11/18/2022,14:24,10/28/2022 00:01,10/28/2022 00:01,10/28/2022 23:59,Main Campus ,Closed
Theft,22-2077-OF,11/18/2022,16:10,11/17/2022 14:02,11/17/2022 14:02,11/17/2022 17:00,Lawrence Apartments,Open Investigation
Fraud,22-2097-OF,11/20/2022,0:28,11/19/2022 23:19,11/19/2022 23:19,11/19/2022 23:19,Henry Hall,Open Investigation
False Public Alarm,22-2093-OF,11/19/2022,22:45,11/19/2022 22:45,11/19/2022 22:45,11/19/2022 22:45,Blair Hall,Open Investigation
Theft,22-2109-OF,11/21/2022,1:15,11/21/2022 00:35,11/21/2022 00:35,11/21/2022 01:15,Wawa ,Open Investigation
Theft,22-2113-OF,11/21/2022,11:01,11/18/2022 16:00,11/18/2022 16:00,11/21/2022 07:00,Parking Lot 20,Open Investigation
Trespassing,22-2120-OF,11/22/2022,1:23,11/22/2022 01:23,11/22/2022 01:23,11/22/2022 01:23,Frist Campus Center,Open Investigation
Criminal Mischief,22-2127-OF,11/22/2022,9:50,11/21/2022 8:00,11/21/2022 8:00,11/22/2022 8:00,New College West,Open Investigation
