,Classification,Disposition,datetime
0,Criminal Mischief,Open Investigation,2023-02-21 07:58:30
1,Harassment: Domestic Violence,Open Investigation,2023-01-10 00:30:32
2,Trespassing,Open Investigation,2023-05-11 16:06:53
3,Trespassing, Arrest,2022-11-16 13:47:48
4,Defiant Trespass,Arrest,2023-02-18 09:39:49
5,Trespass,Open Investigation,2022-10-31 17:34:10
6,Harassment: Domestic Violence,Open Investigation,2023-06-14 01:30:10
7,Assault,Arrest,2023-07-27 22:24:00
8,Fraud,Open Investigation,2023-05-24 15:49:43
9,Theft,Unfounded,2023-02-11 02:31:18
10,False Public Alarm,Closed,2022-12-02 10:44:20
11,Theft,Open Investigation,2022-10-09 01:36:11
12,Harassment,Open Investigation,2023-04-07 01:20:22
13,Trespassing,,2023-10-03 04:53:31
14,Theft,Open Investigation,2022-12-15 08:17:50
15,Harassment,Open Investigation,2023-10-14 08:02:34
16,Fraud,Open Investigation,2023-04-23 03:42:30
17,Rape,Closed,2022-12-27 01:44:04
18,Trespassing,Arrest,2023-09-14 14:16:09
19,Trespassing, Arrest,2023-02-25 00:25:33
20,False Public Alarm,Open Investigation,2023-01-05 05:30:58
21,Shoplifting,Arrest,2022-11-09 12:58:47
22,Trespassing, Arrest,2022-09-26 01:58:33
23,Trespassing,Arrest,2023-04-04 20:14:20
24,Trespassing,,2023-10-06 19:43:08
25,Theft,Arrest,2023-09-23 02:07:17
26,Trespassing,,2023-10-09 03:33:00
27,Theft,Unfounded,2023-08-22 21:15:51
28,Bias Intimidation,Open Investigation,2023-09-26 11:30:54
29,Theft,Unfounded,2023-01-19 08:37:32
30,Trespassing,Arrest,2023-04-18 01:12:08
31,Criminal Mischief,Open Investigation,2023-02-19 01:23:29
32,Shoplifting,Arrest,2023-05-11 08:34:26
33,Trespassing,Arrest,2023-09-16 07:23:47
34,Trespassing,Open Investigation,2023-10-22 04:58:24
35,Theft,Unfounded,2023-10-12 09:25:11
36,Theft,Unfounded,2023-08-08 09:52:57
37,Harassment,Open Investigation,2023-08-06 01:41:55
38,Theft,Open Investigation,2023-02-24 13:21:20
39,Theft,Unfounded,2023-03-19 01:28:53
40,Criminal Mischief,Open Investigation,2023-08-15 02:17:58
41,Theft,Open Investigation,2023-03-16 02:33:30
42,Harassment: Fraud,Arrest,2023-04-10 13:46:22
43,Theft,Unfounded,2022-11-03 14:23:35
44,Shoplifting,Open Investigation,2023-07-11 09:03:33
45,Hindering Possession of Burglary Tools,Arrest,2022-11-25 07:33:22
46,Theft,Unfounded,2022-12-03 18:48:51
47,Trespassing,Arrest,2023-07-18 03:49:02
48,Trespassing,Open Investigation,2023-06-02 06:00:06
49,Trespassing,Closed,2023-04-29 14:34:40
50,Burglary,Arrest,2023-01-24 07:11:30
51,Trespassing,,2023-10-06 16:53:21
52,Theft,Open Investigation,2023-01-21 15:39:32
53,Burglary,Arrest,2022-11-10 01:08:04
54,Theft,Open Investigation,2023-03-22 04:01:04
55,Defiant Trespass,Arrest,2022-11-03 06:55:51
56,Assault,Arrest,2023-04-20 06:38:47
57,Lewdness,Arrest,2022-11-25 19:19:00
58,Theft,Unfounded,2022-11-09 10:05:58
59,Theft,Unfounded,2023-05-15 15:09:06
60,Theft,Arrest,2023-03-23 17:55:45
61,Trespassing,Arrest,2023-07-18 07:00:30
62,Criminal Mischief,Open Investigation,2023-01-09 02:17:56
63,Theft,Unfounded,2023-01-24 07:42:27
64,Trespassing,,2023-09-11 19:54:49
65,Trespassing,,2023-10-15 08:26:58
66,Fraud,Open Investigation,2023-06-04 03:15:02
67,Theft,Open Investigation,2022-12-09 00:59:52
68,Theft,Open Investigation,2022-11-19 16:19:27
69,Theft,Unfounded,2022-10-11 10:19:48
70,False Public Alarm,Open Investigation,2023-01-19 19:00:58
71,Trespassing,Closed,2023-04-06 18:01:03
72,Criminal Mischief,Open Investigation,2023-03-19 12:31:32
73,Fraud,Open Investigation,2023-05-17 16:31:20
74,Criminal Mischief,Open Investigation,2023-04-27 03:06:19
75,Trespassing,Closed,2023-05-13 02:31:22
76,Theft,Unfounded,2023-08-17 20:39:29
77,Bias Intimidation,Open Investigation,2023-03-01 06:03:43
78,Theft,Unfounded,2023-03-24 01:28:33
79,Aggravated Assault,Arrest,2023-02-02 06:01:10
80,Theft,Arrest,2023-02-24 07:49:26
81,Rape,Open Investigation,2023-05-26 06:50:07
82,Theft,Unfounded,2022-10-20 02:07:53
83,Theft,Arrest,2023-02-05 12:04:14
84,Trespassing,Closed,2023-02-23 01:48:04
85,Theft,Unfounded,2023-01-28 08:41:31
86,Assault,Arrest,2023-03-06 12:54:22
87,Attempted Trespass 2,Open Investigation,2023-03-16 01:23:30
88,False Public Alarm,Arrest,2023-03-04 13:16:55
89,Trespassing,,2023-01-16 14:13:21
90,Trespassing,Closed,2023-08-17 15:14:24
91,Trespassing,Open Investigation,2023-01-30 12:04:32
92,Trespassing,Arrest,2023-04-08 12:37:06
93,Theft,Unfounded,2023-03-07 10:16:11
94,Theft,Arrest,2023-09-16 15:47:07
95,Shoplifting,Open Investigation,2023-01-07 17:47:43
96,Trespassing,,2023-08-17 08:16:59
97,Theft,Open Investigation,2023-06-01 16:35:00
98,Assault,Arrest,2022-10-28 00:25:34
99,Theft,Unfounded,2023-04-12 21:49:02
100,Harassment,Closed,2022-12-30 00:22:25
101,Criminal Mischief,Open Investigation,2023-03-12 19:18:47
102,Theft,Unfounded,2022-12-05 08:59:25
103,Criminal Mischief,Open Investigation,2023-05-06 16:49:21
104,Theft,Open Investigation,2023-10-08 13:28:39
105,Theft,Unfounded,2022-11-27 14:49:03
106,Trespassing,Closed,2022-12-22 10:36:20
107,Liquor Law Violation,Closed,2023-03-25 21:16:56
108,Criminal Mischief,Open Investigation,2023-02-15 09:12:01
109,Theft,Open Investigation,2023-04-28 08:38:42
110,Assault,Open Investigation,2023-01-18 21:26:14
111,Harassment: Bias Incident,Arrest,2023-04-28 07:21:49
112,Theft,Open Investigation,2023-04-04 05:09:15
113,Shoplifting,Open Investigation,2022-12-28 04:49:45
114,Theft: Criminal Mischief,Open Investigation,2023-05-25 12:32:55
115,Theft,Unfounded,2023-09-10 07:06:07
116,Theft,Open Investigation,2022-12-17 07:29:56
117,Harassment: Bias Incident,Open Investigation,2023-03-13 10:30:19
118,False Public Alarm,Arrest,2022-12-19 09:30:57
119,False Public Alarm,Open Investigation,2023-02-15 00:45:02
120,Theft,Unfounded,2023-03-30 08:37:50
121,Theft,Unfounded,2023-04-28 08:05:39
122,Shoplifting,Open Investigation,2023-03-17 14:48:25
123,False Public Alarm,Closed,2022-12-20 23:41:04
124,Theft,unfounded,2023-01-07 19:01:41
125,Trespassing,Arrest,2023-06-16 22:28:45
126,Rape,Closed,2023-01-18 00:44:41
127,Theft,Unfounded,2023-08-17 11:28:17
128,Burglary,Arrest,2023-03-24 12:13:43
129,Theft,Open Investigation,2023-05-17 14:13:26
130,Trespassing,,2023-10-29 09:03:57
131,Shoplifting,Arrest,2023-01-27 23:02:51
132,Extortion,Open Investigation,2023-05-11 09:10:08
133,Possession of Burglary Tools 2,Arrest,2023-01-08 14:19:01
134,Criminal Mischief,Open Investigation,2023-11-05 12:54:13
135,Theft,Unfounded,2022-11-03 04:27:34
136,Trespassing, Arrest,2022-10-12 18:42:06
137,Theft,Unfounded,2023-03-26 12:13:07
138,Theft,Unfounded,2023-03-02 21:38:13
139,Fraud,Open Investigation,2023-04-24 00:25:07
140,Harassment,Open Investigation,2023-09-13 15:34:42
141,Shoplifting,Arrest,2023-02-06 04:14:45
142,Hindering Possession of Burglary Tools,Arrest,2023-02-27 15:07:44
143,Trespassing,Arrest,2023-04-26 18:31:17
144,Trespassing,Arrest,2023-01-07 13:33:17
145,Theft,Unfounded,2023-02-22 09:41:10
146,Trespassing,Arrest,2023-03-14 21:42:33
147,Theft,Arrest,2023-02-20 20:25:26
148,Theft,Closed,2023-05-11 19:01:40
149,Trespass,Closed,2023-04-04 21:57:33
150,Shoplifting,Open Investigation,2023-01-21 14:23:38
151,Theft,Open Investigation,2022-11-15 21:51:46
152,False Public Alarm,Closed,2022-12-19 09:26:41
153,Theft,Unfounded,2023-01-21 05:41:16
154,Criminal Mischief,Open Investigation,2023-03-20 11:54:42
155,Theft,Unfounded,2023-03-01 21:40:21
156,Theft,Unfounded,2022-11-11 20:32:17
157,Harassment,Open Investigation,2023-03-07 01:17:36
158,Rape,Closed,2022-11-19 23:57:10
159,Theft, Open Investigation,2022-10-03 12:48:20
160,Theft,Open Investigation,2022-11-23 05:06:30
161,Theft, Open Investigation,2023-01-12 17:13:47
162,Theft,Unfounded,2022-11-18 09:39:05
163,Theft,Unfounded,2023-04-29 14:20:48
164,Assault,Arrest,2023-03-23 16:21:16
165,Theft,Unfounded,2022-11-02 10:09:05
166,Criminal Mischief,Open Investigation,2023-06-13 14:11:16
167,Theft, Open Investigation,2023-01-01 00:14:51
168,Theft,unfounded,2022-11-02 22:37:56
169,Shoplifting,Judicial Referral,2023-02-23 06:32:04
170,Trespassing,Closed,2023-01-28 11:33:17
171,Rape,Closed,2022-11-20 10:12:28
172,Criminal Mischief,Open Investigation,2023-04-07 02:20:45
173,Theft,Unfounded,2023-02-13 00:12:34
174,Defiant Trespass,Arrest,2023-09-29 08:15:35
175,Trespassing,Arrest,2022-11-22 17:58:49
176,Burglary,Open Investigation,2023-02-20 17:03:25
177,Terroristic Threats,Open Investigation,2023-06-09 10:56:19
178,Criminal Mischief,Open Investigation,2023-04-13 23:57:26
179,Theft,Unfounded,2023-03-24 02:12:32
180,Defiant Trespass: Aggravated Assault,Arrest,2023-03-15 14:46:17
181,Trespassing,,2023-10-01 04:00:54
182,Trespassing,Arrest,2023-09-11 09:44:31
183,Theft,Open Investigation,2023-05-27 18:27:53
184,Rape,Closed,2022-12-30 16:31:55
185,Trespassing,Arrest,2022-12-29 14:27:54
186,Theft,Unfounded,2023-03-10 17:18:43
187,Theft,Open Investigation,2023-04-01 01:41:25
188,Shoplifting,Arrest,2023-04-28 15:24:23
189,Trespassing, Arrest,2022-10-05 01:52:32
190,Rape,Unfounded,2023-01-14 22:14:12
191,Trespassing,,2023-11-02 23:35:46
192,Trespass,Closed,2023-02-05 10:33:27
193,False Public Alarm,Closed,2023-04-11 00:55:53
194,Theft,Unfounded,2023-05-05 03:24:56
195,Theft: Criminal Mischief,Open Investigation,2023-02-26 02:16:11
196,Theft,Open Investigation,2023-01-22 23:54:35
197,Trespassing,Open Investigation,2023-08-26 02:55:30
198,Shoplifting,Closed,2022-12-29 22:05:01
199,Criminal Mischief,Open Investigation,2023-04-18 09:23:29
200,Theft,Open Investigation,2023-10-04 08:35:32
201,Harassment,Open Investigation,2023-08-14 06:11:07
202,Theft,Unfounded,2023-01-18 13:34:59
203,Trespassing, Arrest,2022-11-23 01:17:51
204,Theft,Unfounded,2023-01-15 04:36:12
205,Theft,Open Investigation,2023-03-01 06:27:06
206,Theft,Open Investigation,2022-12-22 14:04:43
207,Theft,Open Investigation,2023-08-18 06:16:19
208,Criminal Mischief,Open Investigation,2023-05-16 22:39:40
209,Theft,Open Investigation,2023-03-30 08:05:18
210,Theft,Open Investigation,2023-05-08 04:29:54
211,Theft,Unfounded,2022-11-04 19:45:07
212,Possession of Burglary Tools 2,Arrest,2023-04-02 06:33:22
213,Theft,Unfounded,2022-12-13 22:12:01
214,Theft,Open Investigation,2022-11-11 14:20:32
215,Theft,Unfounded,2023-07-27 05:59:51
216,Harassment,Open Investigation,2023-02-08 20:30:54
217,Trespassing,Arrest,2023-04-17 23:06:33
218,Theft,Unfounded,2023-03-01 13:25:58
219,Harassment,Open Investigation,2023-04-01 13:50:23
220,Theft,Open Investigation,2022-11-29 03:25:21
