,Unnamed: 0,Classification,Disposition,datetime
0,0,Theft,Open Investigation,2021-03-30 17:40:00
1,1,Harassment,Open Investigation,2020-09-21 17:04:00
2,2,Trespassing,Open Investigation,2021-07-03 10:10:00
3,3,Assault,Unfounded,2021-01-03 02:50:00
4,4,Trespassing,Open Investigation,2020-12-07 04:42:00
5,5,Theft,Open Investigation,2021-06-21 00:19:00
6,6,Theft, Arrest,2021-02-02 09:02:00
7,7,Trespassing,Open Investigation,2021-05-04 19:29:00
8,8,Domestic Violence: Harassment,Open Investigation,2021-06-09 06:22:00
9,9,Shoplifting,Open Investigation,2021-08-05 18:12:00
10,10,Trespass,Closed,2021-03-26 00:43:00
11,11,False Public Alarm,Open Investigation,2020-12-13 03:45:00
12,12,Rape,Open Investigation,2021-06-19 17:49:00
13,13,Shoplifting,Open Investigation,2021-04-21 15:01:00
14,14,Theft,Arrest,2021-07-10 22:12:00
15,15,Shoplifting,Arrest,2021-08-25 10:09:00
16,16,Fraud, Open Investigation,2021-08-11 15:30:00
17,17,Defiant Trespass: Aggravated Assault,Open Investigation,2020-10-19 05:16:00
18,18,Bias Intimidation,Open Investigation,2021-03-09 10:53:00
19,19,Theft,Arrest,2021-01-02 15:46:00
20,20,False Public Alarm,Closed,2021-07-18 09:19:00
21,21,Harassment: Domestic Violence,Arrest,2021-10-27 00:23:00
22,22,Trespassing,Arrest,2020-11-16 01:33:00
23,23,Shoplifting,Open Investigation,2021-08-16 20:47:00
24,24,Harassment: Stalking,Open Investigation,2021-08-24 06:35:00
25,25,Harassment,Open Investigation,2020-10-08 15:42:00
26,26,Criminal Mischief,Unfounded,2021-09-09 04:30:00
27,27,Theft,Open Investigation,2020-09-24 17:20:00
28,28,Fraud,Unfounded,2021-04-23 18:02:00
29,29,Trespass,Arrest,2021-11-27 18:05:00
30,30,Trespass,Open Investigation,2021-04-14 14:46:00
31,31,Fraud,Open Investigation,2020-09-01 14:50:00
32,32,Assault: Domestic Violence,Open Investigation,2021-07-20 09:39:00
33,33,Theft,Arrest,2020-11-05 05:22:00
34,34,Extortion,Closed,2021-01-11 17:14:00
35,35,Trespassing,Arrest,2021-03-09 12:59:00
36,36,Theft: Criminal Mischief,Closed,2021-07-26 17:00:00
37,37,Criminal Mischief,Open Investigation,2021-07-27 04:29:00
38,38,Trespassing, Open Investigation,2021-09-11 00:47:00
39,39,Theft,Closed,2021-08-09 01:31:00
40,40,Assault,Open Investigation,2021-01-23 08:56:00
41,41,Theft,Unfounded,2021-01-21 13:36:00
42,42,Rape,Unfounded,2021-06-02 10:45:00
43,43,Theft: Criminal Mischief, Open Investigation,2021-08-04 07:57:00
44,44,Trespassing,Open Investigation,2021-06-09 02:22:00
45,45,Shoplifting,Open Investigation,2021-07-13 21:50:00
46,46,Assault,Open Investigation,2021-05-31 16:54:00
47,47,Fraud,Open Investigation,2021-10-04 04:25:00
48,48,Theft,Open Investigation,2021-02-02 21:55:00
49,49,Theft,Closed,2021-06-22 09:12:00
50,50,Terroristic Threats,Open Investigation,2020-12-16 08:33:00
51,51,Attempted Fraud,Closed,2021-06-10 02:06:00
52,52,Attempted Extortion,Open Investigation,2021-06-27 20:32:00
53,53,Theft,Open Investigation,2021-07-26 22:58:00
54,54,Theft,Open Investigation,2020-11-14 04:26:00
55,55,Shoplifting, Arrest,2020-11-06 10:41:00
56,56,Harassment: Trespassing,Open Investigation,2021-01-28 10:47:00
57,57,Terroristic Threats,Closed,2020-10-14 10:29:00
58,58,Theft,Open Investigation,2021-11-27 18:37:00
59,59,Burglary,Open Investigation,2020-10-15 08:30:00
60,60,Criminal Mischief,Open Investigation,2020-12-13 10:42:00
61,61,Trespassing,Arrest,2021-09-22 09:17:00
62,62,Assault: Domestic Violence,Open Investigation,2021-07-26 07:59:00
63,63,Trespass,Open Investigation,2021-10-15 18:58:00
64,64,False Public Alarm,Closed,2020-12-17 03:42:00
65,65,Defiant Trespass,unfounded,2020-11-07 15:51:00
66,66,Trespass,Arrest,2021-12-07 09:46:00
67,67,Trespassing,Open Investigation,2020-11-15 09:09:00
68,68,Rape,Unfounded,2021-10-07 13:46:00
69,69,Theft,Open Investigation,2021-01-28 01:39:00
70,70,Theft,Open Investigation,2020-10-05 12:29:00
71,71,Shoplifting ,Unfounded,2021-01-11 07:20:00
72,72,Assault: Domestic Violence,Arrest,2021-03-01 11:26:00
73,73,Rape,Arrest,2021-08-28 07:18:00
74,74,Trespassing,Closed,2021-03-30 01:51:00
75,75,Attempted Fraud,unfounded,2021-11-20 11:45:00
76,76,Theft: Criminal Mischief, Arrest,2021-10-29 04:06:00
77,77,Harassment: Bias Incident,Open Investigation,2020-10-06 10:18:00
78,78,Stalking,Open Investigation,2021-01-08 02:44:00
79,79,Criminal Mischief,Closed,2021-11-18 18:01:00
80,80,Defiant Trespass: Aggravated Assault,Open Investigation,2021-01-22 10:42:00
81,81,Harassment: Fraud,Unfounded,2021-01-01 17:56:00
82,82,Criminal Mischief,Open Investigation,2020-12-27 05:36:00
83,83,Shoplifting,Arrest,2021-06-27 18:02:00
84,84,Theft,Open Investigation,2020-11-11 10:06:00
85,85,Assault,Arrest,2021-10-31 01:13:00
86,86,Attempted Theft,Unfounded,2021-02-19 12:30:00
87,87,Harassment: Bias Incident,Open Investigation,2021-08-10 23:25:00
88,88,Theft: Criminal Mischief,Open Investigation,2021-08-03 11:16:00
89,89,Hindering Possession of Burglary Tools,Open Investigation,2021-08-06 12:35:00
90,90,Theft,Closed,2021-08-21 18:10:00
91,91,Theft: Criminal Mischief,Open Investigation,2021-04-27 15:26:00
92,92,Stalking,Closed,2021-01-21 08:38:00
93,93,Shoplifting,Arrest,2021-12-05 15:57:00
94,94,Shoplifting,Arrest,2021-10-26 23:51:00
95,95,Terroristic Threats,Open Investigation,2020-08-31 19:26:00
96,96,Harassment: Bias Incident,Arrest,2021-07-23 20:36:00
97,97,Attempted Fraud,Open Investigation,2021-08-05 02:23:00
98,98,Burglary,Open Investigation,2021-11-11 21:48:00
99,99,Service of Warrant,Closed,2021-07-20 04:30:00
100,100,Criminal Mischief,Open Investigation,2020-12-23 04:50:00
101,101,Harassment: Bias Incident,Open Investigation,2021-09-15 19:09:00
102,102,Theft,Closed,2021-05-25 05:16:00
103,103,False Public Alarm,Judicial Referral,2021-08-14 10:42:00
104,104,Criminal Mischief,Open Investigation,2021-08-24 10:00:00
105,105,Service of Warrant,Open Investigation,2021-06-25 05:32:00
106,106,Shoplifting ,Open Investigation,2021-10-29 15:26:00
107,107,Theft,Arrest,2020-11-30 23:59:00
108,108,Assault,Unfounded,2020-12-13 00:03:00
109,109,Trespassing,Arrest,2021-06-13 15:31:00
110,110,Theft,Open Investigation,2021-08-29 13:08:00
111,111,Shoplifting,Open Investigation,2021-02-20 14:37:00
112,112,Attempted Extortion,Open Investigation,2021-04-16 00:48:00
113,113,Attempted Extortion,Open Investigation,2020-12-21 11:56:00
114,114,Criminal Mischief, Arrest,2021-03-13 21:25:00
115,115,Trespass,unfounded,2021-02-07 12:31:00
116,116,Theft,Judicial Referral,2021-09-07 10:49:00
117,117,Terroristic Threats,Arrest,2021-09-10 07:44:00
118,118,Shoplifting,Open Investigation,2020-10-14 02:00:00
119,119,Shoplifting,Arrest,2020-12-30 11:48:00
120,120,Theft,Open Investigation,2021-03-07 01:01:00
121,121,Theft,Arrest,2020-12-18 08:09:00
122,122,Trespassing,Arrest,2021-04-25 19:20:00
123,123,Theft,Open Investigation,2021-05-25 06:32:00
124,124,Rape,Closed,2020-08-29 04:04:00
125,125,Shoplifting,Closed,2021-03-23 14:43:00
126,126,Theft,Open Investigation,2021-01-23 03:35:00
127,127,Theft,Arrest,2020-11-25 14:52:00
128,128,Theft, Open Investigation,2021-01-06 06:35:00
129,129,Harassment,Open Investigation,2020-12-31 03:29:00
130,130,Fraud,Open Investigation,2021-08-20 04:03:00
131,131,Lewdness,Open Investigation,2021-04-25 04:44:00
132,132,Theft,Open Investigation,2020-11-10 01:54:00
133,133,Trespassing,Arrest,2021-04-27 13:35:00
134,134,Lewdness,Open Investigation,2021-08-05 08:47:00
135,135,Trespassing,Open Investigation,2021-09-11 23:35:00
136,136,Criminal Mischief,Open Investigation,2021-01-21 12:08:00
137,137,Stalking,Unfounded,2020-09-29 00:35:00
138,138,Assault: Domestic Violence,Open Investigation,2020-10-05 00:40:00
139,139,Theft,Open Investigation,2021-09-24 02:01:00
140,140,Fraud, Open Investigation,2020-12-31 23:41:00
141,141,Possession of Burglary Tools 2,Closed,2021-01-26 14:39:00
142,142,Defiant Trespass,Open Investigation,2020-12-01 01:52:00
143,143,Shoplifting,Open Investigation,2021-07-20 08:27:00
144,144,Theft,Open Investigation,2020-09-30 03:45:00
145,145,Disorderly Conduct,Open Investigation,2020-10-02 21:18:00
146,146,Attempted Theft,Open Investigation,2020-10-26 02:06:00
147,147,Attempted Fraud, Closed,2021-02-07 09:24:00
148,148,Shoplifting ,Closed,2021-07-09 23:55:00
149,149,Criminal Mischief,Open Investigation,2021-02-17 14:39:00
150,150,False Public Alarm,Open Investigation,2021-09-09 12:19:00
151,151,Theft: Criminal Mischief, Arrest,2021-03-13 01:30:00
