,Classification,Disposition,datetime
0,Criminal Mischief,Open Investigation,2023-03-20 11:55:56
1,Harassment: Domestic Violence,Open Investigation,2023-07-12 22:11:00
2,Harassment,Open Investigation,2023-01-09 09:35:46
3,Trespassing, Arrest,2022-09-29 08:16:33
4,Shoplifting,Arrest,2023-01-01 10:17:07
5,Trespass,Closed,2022-12-13 14:08:10
6,Harassment: Domestic Violence,Open Investigation,2022-12-05 11:00:01
7,Shoplifting,Arrest,2023-02-06 06:32:01
8,Fraud,Open Investigation,2023-03-18 18:54:11
9,Theft,Unfounded,2023-01-19 16:35:15
10,Trespass,Closed,2023-03-25 11:17:39
11,Theft,Open Investigation,2023-04-16 12:43:40
12,Harassment,Open Investigation,2023-09-20 12:07:07
13,Trespassing,,2023-12-10 13:32:25
14,Theft,Open Investigation,2022-12-15 03:39:59
15,Harassment,Open Investigation,2023-03-03 03:10:49
16,Fraud,Open Investigation,2023-06-02 20:23:03
17,Trespass,Closed,2023-03-11 14:14:58
18,Trespassing,Open Investigation,2023-04-26 03:18:40
19,Trespassing, Arrest,2022-11-08 23:52:22
20,False Public Alarm,Open Investigation,2023-01-25 15:06:36
21,Shoplifting,Arrest,2023-02-01 08:08:20
22,Trespassing, Arrest,2022-10-26 13:49:12
23,Trespass,Arrest,2023-06-25 23:31:47
24,Trespassing,,2023-04-06 09:22:46
25,Assault: Domestic Violence,Arrest,2023-03-23 16:23:03
26,Trespassing,,2023-09-30 00:42:43
27,Liquor Law Violation,Unfounded,2023-03-14 00:41:19
28,Bias Intimidation,Open Investigation,2023-10-28 19:02:09
29,Theft,Unfounded,2023-01-10 14:58:56
30,Trespassing,Arrest,2022-12-20 23:20:16
31,Criminal Mischief,Open Investigation,2022-11-27 14:54:15
32,Shoplifting,Judicial Referral,2023-02-03 00:14:01
33,Trespassing,Arrest,2023-02-20 21:13:18
34,Trespassing,Open Investigation,2023-10-24 08:54:35
35,Theft,Unfounded,2023-01-28 15:07:53
36,Theft,Unfounded,2022-10-30 19:21:51
37,Harassment,Open Investigation,2023-09-30 04:05:59
38,Theft,Open Investigation,2023-01-22 20:56:56
39,Theft,Unfounded,2023-01-02 15:36:06
40,Criminal Mischief,Open Investigation,2023-06-01 14:01:24
41,Theft,Open Investigation,2023-05-28 10:31:18
42,Trespassing,Arrest,2023-02-20 01:25:21
43,Theft,Unfounded,2022-12-01 15:44:49
44,Shoplifting,Open Investigation,2023-03-14 06:15:48
45,Hindering Possession of Burglary Tools,Arrest,2023-02-18 22:09:46
46,Theft,Unfounded,2023-08-01 10:50:32
47,Trespassing,Open Investigation,2022-11-07 13:35:21
48,Trespassing,Arrest,2023-08-27 03:51:34
49,Trespass,Closed,2023-05-13 22:38:33
50,Burglary,Open Investigation,2023-04-11 10:26:08
